Lagereinheit_ID,Packplatz,Auftragsnummer,Packzeitpunkt,Menge
649,Packplatz 08,2947,18.07.2022 21:02,326
516,Packplatz 04,5584,18.07.2022 20:33,400
385,Packplatz 05,7457,18.07.2022 16:08,112
264,Packplatz 02,7046,18.07.2022 21:00,234
106,Packplatz 03,8189,18.07.2022 16:41,334
333,Packplatz 03,7536,18.07.2022 21:57,474
330,Packplatz 06,2772,18.07.2022 20:47,30
729,Packplatz 10,5995,18.07.2022 16:31,138
307,Packplatz 10,8346,18.07.2022 18:15,367
531,Packplatz 01,4768,18.07.2022 19:04,486
850,Packplatz 03,2819,18.07.2022 21:10,52
266,Packplatz 07,3800,19.07.2022 00:48,231
775,Packplatz 06,3452,18.07.2022 21:22,184
935,Packplatz 08,9194,18.07.2022 22:33,242
352,Packplatz 03,8859,18.07.2022 20:15,31
391,Packplatz 08,4129,18.07.2022 20:44,457
228,Packplatz 05,3079,18.07.2022 15:28,239
956,Packplatz 10,4944,18.07.2022 22:08,200
756,Packplatz 05,1442,18.07.2022 20:12,301
763,Packplatz 04,3934,18.07.2022 21:59,208
305,Packplatz 10,9358,18.07.2022 22:09,16
339,Packplatz 01,8197,18.07.2022 17:19,344
613,Packplatz 04,2413,18.07.2022 21:21,233
238,Packplatz 10,2764,18.07.2022 20:29,127
978,Packplatz 09,1054,18.07.2022 22:35,34
615,Packplatz 10,3289,18.07.2022 21:54,158
713,Packplatz 07,3272,18.07.2022 15:49,146
974,Packplatz 03,8775,18.07.2022 22:03,494
385,Packplatz 01,3268,18.07.2022 18:35,491
586,Packplatz 09,9244,18.07.2022 19:17,99
773,Packplatz 09,1162,18.07.2022 17:16,274
638,Packplatz 03,5220,18.07.2022 22:31,279
748,Packplatz 01,9295,18.07.2022 16:57,362
506,Packplatz 10,3383,18.07.2022 18:54,195
492,Packplatz 06,3022,18.07.2022 23:00,178
147,Packplatz 09,2321,18.07.2022 22:26,497
959,Packplatz 06,3171,18.07.2022 17:58,297
292,Packplatz 01,7648,19.07.2022 01:45,347
811,Packplatz 08,8216,18.07.2022 19:07,77
714,Packplatz 08,8488,18.07.2022 15:55,265
557,Packplatz 09,4586,18.07.2022 20:20,321
204,Packplatz 09,1377,18.07.2022 18:38,388
375,Packplatz 02,1081,18.07.2022 17:04,173
571,Packplatz 05,4438,18.07.2022 16:31,113
539,Packplatz 06,4842,18.07.2022 21:27,319
610,Packplatz 09,4107,18.07.2022 21:09,158
724,Packplatz 04,4542,18.07.2022 18:22,390
882,Packplatz 01,8491,18.07.2022 16:37,118
674,Packplatz 01,5695,18.07.2022 19:11,243
780,Packplatz 01,6344,18.07.2022 22:12,204
638,Packplatz 04,5993,18.07.2022 19:05,381
317,Packplatz 03,7772,18.07.2022 19:57,212
282,Packplatz 04,9994,18.07.2022 19:00,227
114,Packplatz 05,9365,18.07.2022 22:06,216
330,Packplatz 02,5098,18.07.2022 17:26,90
573,Packplatz 06,3499,18.07.2022 21:57,365
113,Packplatz 08,4310,18.07.2022 22:26,395
906,Packplatz 08,5324,18.07.2022 23:34,321
706,Packplatz 02,9392,18.07.2022 20:29,278
887,Packplatz 01,9380,18.07.2022 19:32,220
984,Packplatz 04,9465,18.07.2022 22:16,198
964,Packplatz 04,3553,18.07.2022 21:32,385
704,Packplatz 10,7408,18.07.2022 19:35,452
337,Packplatz 10,2244,18.07.2022 22:49,86
408,Packplatz 02,1379,18.07.2022 17:45,84
371,Packplatz 06,2335,18.07.2022 18:36,382
412,Packplatz 07,9664,18.07.2022 19:53,316
560,Packplatz 06,1480,18.07.2022 20:11,226
713,Packplatz 08,4442,18.07.2022 18:36,291
328,Packplatz 09,6289,18.07.2022 15:56,239
672,Packplatz 04,5131,18.07.2022 21:14,209
672,Packplatz 05,3228,18.07.2022 17:24,179
729,Packplatz 06,9428,18.07.2022 20:26,458
972,Packplatz 08,9764,18.07.2022 19:28,376
148,Packplatz 01,6272,18.07.2022 16:34,228
156,Packplatz 02,6108,18.07.2022 19:03,103
239,Packplatz 02,1264,18.07.2022 18:33,241
581,Packplatz 10,7874,18.07.2022 20:01,34
413,Packplatz 08,6771,18.07.2022 21:04,109
654,Packplatz 10,6868,18.07.2022 18:39,111
326,Packplatz 02,1960,18.07.2022 15:07,343
921,Packplatz 01,8520,18.07.2022 21:20,170
909,Packplatz 09,6052,18.07.2022 19:32,374
888,Packplatz 10,4052,18.07.2022 17:58,483
935,Packplatz 06,4171,19.07.2022 01:13,355
786,Packplatz 08,8068,18.07.2022 18:06,496
272,Packplatz 01,1529,18.07.2022 19:07,469
206,Packplatz 09,4435,18.07.2022 23:22,150
244,Packplatz 03,6169,18.07.2022 16:50,52
728,Packplatz 07,9139,18.07.2022 17:16,362
410,Packplatz 10,7165,18.07.2022 17:20,495
867,Packplatz 04,8844,18.07.2022 14:45,327
711,Packplatz 06,3501,18.07.2022 21:38,498
794,Packplatz 03,8786,18.07.2022 18:49,200
165,Packplatz 09,2922,18.07.2022 19:29,324
425,Packplatz 03,1906,18.07.2022 20:25,274
146,Packplatz 09,1203,18.07.2022 19:52,373
295,Packplatz 06,4075,18.07.2022 21:12,27
829,Packplatz 08,4267,18.07.2022 21:31,268
854,Packplatz 06,1352,18.07.2022 17:32,226
448,Packplatz 08,2548,18.07.2022 18:04,67
194,Packplatz 07,4801,18.07.2022 21:48,80
687,Packplatz 10,1840,18.07.2022 18:49,138
676,Packplatz 01,5280,18.07.2022 22:20,456
111,Packplatz 07,8563,18.07.2022 18:49,478
930,Packplatz 04,2998,19.07.2022 00:12,285
979,Packplatz 04,4364,18.07.2022 18:49,67
250,Packplatz 07,2486,18.07.2022 22:32,362
182,Packplatz 04,1123,18.07.2022 22:03,396
869,Packplatz 09,9970,18.07.2022 18:45,31
710,Packplatz 02,8371,18.07.2022 21:01,393
536,Packplatz 02,6640,18.07.2022 19:56,110
524,Packplatz 09,4034,18.07.2022 19:01,358
404,Packplatz 10,8482,18.07.2022 18:33,27
378,Packplatz 09,2903,18.07.2022 22:36,145
724,Packplatz 05,4482,18.07.2022 17:52,477
865,Packplatz 10,6404,18.07.2022 18:49,303
492,Packplatz 02,1870,18.07.2022 22:20,335
406,Packplatz 05,1104,18.07.2022 21:15,45
941,Packplatz 04,6328,18.07.2022 22:25,306
181,Packplatz 04,6976,18.07.2022 19:45,181
911,Packplatz 03,9852,18.07.2022 19:34,335
839,Packplatz 05,9728,18.07.2022 17:20,305
508,Packplatz 07,2707,18.07.2022 21:49,186
321,Packplatz 08,3068,18.07.2022 20:43,416
788,Packplatz 02,8976,18.07.2022 20:40,223
525,Packplatz 10,3679,18.07.2022 21:12,209
491,Packplatz 02,8062,18.07.2022 23:19,90
866,Packplatz 07,4180,18.07.2022 19:30,343
907,Packplatz 05,6348,18.07.2022 18:39,276
261,Packplatz 10,9344,18.07.2022 20:51,19
973,Packplatz 10,3463,19.07.2022 00:02,311
506,Packplatz 03,1460,19.07.2022 01:26,31
506,Packplatz 01,4924,18.07.2022 18:50,342
438,Packplatz 08,3728,18.07.2022 21:57,131
516,Packplatz 04,2722,18.07.2022 22:57,169
319,Packplatz 09,7462,18.07.2022 19:58,206
560,Packplatz 06,6778,18.07.2022 23:23,179
299,Packplatz 10,6815,18.07.2022 19:29,133
461,Packplatz 03,6924,18.07.2022 23:37,355
951,Packplatz 09,5450,18.07.2022 18:31,477
563,Packplatz 08,4820,18.07.2022 21:50,338
961,Packplatz 08,7002,18.07.2022 16:08,239
897,Packplatz 01,3769,18.07.2022 20:11,77
211,Packplatz 06,8970,18.07.2022 20:33,468
398,Packplatz 06,6427,18.07.2022 16:34,39
569,Packplatz 04,4075,18.07.2022 17:21,194
891,Packplatz 06,3072,18.07.2022 19:25,130
451,Packplatz 01,5598,18.07.2022 21:21,407
543,Packplatz 08,6499,18.07.2022 23:42,141
940,Packplatz 08,4636,18.07.2022 19:21,234
697,Packplatz 01,1262,18.07.2022 22:43,430
698,Packplatz 03,7337,18.07.2022 19:31,482
338,Packplatz 02,9452,18.07.2022 16:44,211
994,Packplatz 03,6428,18.07.2022 21:33,419
423,Packplatz 01,1852,18.07.2022 22:08,247
238,Packplatz 07,5978,18.07.2022 22:38,203
347,Packplatz 04,4612,18.07.2022 17:18,49
296,Packplatz 06,3350,18.07.2022 21:59,484
773,Packplatz 05,1181,18.07.2022 19:14,475
214,Packplatz 10,8466,18.07.2022 21:13,37
517,Packplatz 02,8716,18.07.2022 19:36,179
159,Packplatz 02,5988,19.07.2022 00:18,328
724,Packplatz 03,6614,18.07.2022 23:23,113
104,Packplatz 04,5251,18.07.2022 17:44,254
186,Packplatz 09,2014,18.07.2022 21:05,374
243,Packplatz 09,1810,19.07.2022 00:37,399
664,Packplatz 10,3973,18.07.2022 20:27,392
158,Packplatz 03,4794,18.07.2022 22:16,54
922,Packplatz 07,6294,18.07.2022 23:21,48
758,Packplatz 02,8251,18.07.2022 19:55,221
293,Packplatz 05,9244,18.07.2022 18:10,440
913,Packplatz 06,5803,18.07.2022 22:27,192
218,Packplatz 02,6592,18.07.2022 20:56,88
526,Packplatz 08,7816,18.07.2022 20:53,4
855,Packplatz 01,1612,18.07.2022 22:51,126
591,Packplatz 01,5587,18.07.2022 22:19,262
919,Packplatz 04,1587,18.07.2022 20:33,442
481,Packplatz 09,8474,18.07.2022 18:41,78
799,Packplatz 09,4321,18.07.2022 22:00,199
894,Packplatz 05,5690,18.07.2022 15:28,75
533,Packplatz 07,3376,18.07.2022 18:39,54
537,Packplatz 01,6188,19.07.2022 00:04,499
846,Packplatz 10,5860,18.07.2022 18:26,498
373,Packplatz 07,5866,18.07.2022 20:50,37
748,Packplatz 09,3725,18.07.2022 19:29,256
420,Packplatz 04,2053,18.07.2022 22:26,262
825,Packplatz 06,7498,18.07.2022 21:19,426
743,Packplatz 10,1984,18.07.2022 20:18,206
578,Packplatz 06,1434,18.07.2022 21:04,164
773,Packplatz 05,8504,18.07.2022 20:38,2
656,Packplatz 04,9897,18.07.2022 19:58,287
412,Packplatz 05,7260,18.07.2022 16:51,212
550,Packplatz 02,6844,18.07.2022 18:29,226
499,Packplatz 06,4834,18.07.2022 17:06,431
142,Packplatz 08,6055,18.07.2022 20:28,178
626,Packplatz 02,9596,18.07.2022 21:13,290
125,Packplatz 04,4722,18.07.2022 17:17,475
847,Packplatz 07,3595,18.07.2022 21:42,75
165,Packplatz 10,8815,18.07.2022 19:20,85
854,Packplatz 02,1444,18.07.2022 21:56,222
269,Packplatz 08,2306,18.07.2022 21:34,251
858,Packplatz 04,5276,18.07.2022 20:13,77
805,Packplatz 05,4960,18.07.2022 22:12,221
347,Packplatz 04,7050,18.07.2022 18:19,354
881,Packplatz 09,4801,18.07.2022 21:45,441
303,Packplatz 06,7003,18.07.2022 16:33,476
487,Packplatz 01,2636,18.07.2022 18:52,5
404,Packplatz 07,8656,18.07.2022 17:02,404
261,Packplatz 09,6531,18.07.2022 17:27,176
648,Packplatz 01,4451,18.07.2022 23:37,285
962,Packplatz 04,1282,18.07.2022 20:08,145
451,Packplatz 09,4710,18.07.2022 20:48,445
297,Packplatz 08,8034,18.07.2022 16:24,486
784,Packplatz 04,8809,18.07.2022 20:40,340
247,Packplatz 06,6699,18.07.2022 21:33,351
131,Packplatz 05,8104,18.07.2022 18:53,413
538,Packplatz 09,5185,18.07.2022 16:52,454
890,Packplatz 04,8416,18.07.2022 15:19,258
709,Packplatz 10,2678,18.07.2022 18:51,26
784,Packplatz 04,8584,18.07.2022 13:38,240
198,Packplatz 09,9163,18.07.2022 18:37,78
888,Packplatz 05,4471,18.07.2022 21:54,286
795,Packplatz 04,6171,18.07.2022 22:35,273
444,Packplatz 03,4327,18.07.2022 21:03,371
335,Packplatz 07,5875,18.07.2022 20:22,278
675,Packplatz 02,4987,18.07.2022 18:32,306
795,Packplatz 03,1739,18.07.2022 21:48,402
875,Packplatz 10,4029,18.07.2022 18:42,226
839,Packplatz 01,3487,18.07.2022 23:29,226
670,Packplatz 03,4399,18.07.2022 17:54,9
589,Packplatz 10,7496,18.07.2022 19:25,153
380,Packplatz 06,4380,18.07.2022 18:56,442
233,Packplatz 06,4652,18.07.2022 18:41,192
441,Packplatz 06,9134,18.07.2022 21:59,238
422,Packplatz 07,7339,18.07.2022 16:50,271
288,Packplatz 08,9544,18.07.2022 22:52,413
691,Packplatz 07,8260,18.07.2022 16:20,78
751,Packplatz 02,7488,18.07.2022 21:52,208
497,Packplatz 01,7513,18.07.2022 22:46,398
244,Packplatz 02,8608,18.07.2022 21:46,175
119,Packplatz 06,2916,19.07.2022 01:22,185
470,Packplatz 03,2071,18.07.2022 18:26,358
330,Packplatz 03,7147,18.07.2022 23:26,488
282,Packplatz 05,3264,18.07.2022 19:54,224
361,Packplatz 02,5200,19.07.2022 01:03,457
638,Packplatz 03,7140,18.07.2022 21:33,305
885,Packplatz 03,8391,18.07.2022 23:21,329
296,Packplatz 03,7312,18.07.2022 19:35,270
908,Packplatz 01,1798,18.07.2022 22:44,487
681,Packplatz 07,8545,18.07.2022 19:21,252
495,Packplatz 04,2880,18.07.2022 16:37,105
765,Packplatz 09,4531,18.07.2022 20:36,174
487,Packplatz 01,8437,18.07.2022 16:33,151
831,Packplatz 05,3421,18.07.2022 23:52,289
570,Packplatz 08,3296,18.07.2022 22:03,10
763,Packplatz 04,5508,18.07.2022 21:38,307
680,Packplatz 06,7733,18.07.2022 22:28,152
128,Packplatz 06,4360,18.07.2022 18:05,340
738,Packplatz 10,2579,19.07.2022 01:47,427
312,Packplatz 01,1909,18.07.2022 23:31,390
445,Packplatz 07,6766,18.07.2022 18:37,466
998,Packplatz 01,9344,18.07.2022 19:08,360
189,Packplatz 09,3548,18.07.2022 17:24,418
937,Packplatz 10,2304,18.07.2022 19:42,46
590,Packplatz 02,6292,18.07.2022 20:11,111
711,Packplatz 05,8377,18.07.2022 20:39,201
827,Packplatz 06,9655,18.07.2022 22:05,93
535,Packplatz 01,9040,18.07.2022 17:53,292
870,Packplatz 07,5947,18.07.2022 17:40,355
158,Packplatz 05,2394,19.07.2022 00:14,115
625,Packplatz 04,1099,18.07.2022 18:14,111
343,Packplatz 10,4492,18.07.2022 22:31,411
945,Packplatz 09,6520,18.07.2022 21:53,146
148,Packplatz 05,8917,18.07.2022 17:35,223
712,Packplatz 06,8250,18.07.2022 19:24,218
658,Packplatz 01,6770,18.07.2022 22:28,475
599,Packplatz 06,7020,18.07.2022 21:35,409
190,Packplatz 10,3484,18.07.2022 20:44,199
297,Packplatz 01,6701,18.07.2022 17:37,459
254,Packplatz 03,3786,18.07.2022 18:47,248
172,Packplatz 04,5746,18.07.2022 20:15,78
796,Packplatz 01,4130,18.07.2022 18:02,187
357,Packplatz 06,7849,18.07.2022 20:42,165
389,Packplatz 03,1636,18.07.2022 17:03,452
643,Packplatz 02,7159,18.07.2022 18:50,220
222,Packplatz 06,5121,18.07.2022 21:55,271
945,Packplatz 10,2080,18.07.2022 16:59,47
278,Packplatz 09,6223,18.07.2022 19:23,132
621,Packplatz 08,2824,18.07.2022 18:32,176
974,Packplatz 05,9541,18.07.2022 20:19,144
541,Packplatz 08,7336,18.07.2022 14:48,105
763,Packplatz 09,1075,18.07.2022 17:31,77
503,Packplatz 02,1828,18.07.2022 20:38,47
248,Packplatz 04,9865,18.07.2022 20:35,366
405,Packplatz 10,8784,18.07.2022 18:44,180
642,Packplatz 04,6730,18.07.2022 19:26,282
986,Packplatz 07,3581,18.07.2022 23:05,303
265,Packplatz 07,8216,18.07.2022 22:41,42
700,Packplatz 07,6298,18.07.2022 17:58,84
842,Packplatz 07,7341,18.07.2022 23:34,430
163,Packplatz 03,6168,18.07.2022 22:16,473
180,Packplatz 09,4493,18.07.2022 20:50,280
930,Packplatz 07,1606,18.07.2022 23:05,266
654,Packplatz 10,2742,18.07.2022 23:00,405
552,Packplatz 05,7320,18.07.2022 17:32,409
612,Packplatz 07,8222,18.07.2022 15:59,13
491,Packplatz 08,9280,18.07.2022 23:02,205
691,Packplatz 06,8308,18.07.2022 18:49,125
907,Packplatz 02,8446,18.07.2022 21:07,398
786,Packplatz 09,7945,19.07.2022 00:07,57
502,Packplatz 05,9544,18.07.2022 17:55,144
192,Packplatz 06,3797,18.07.2022 20:52,445
429,Packplatz 08,9832,19.07.2022 01:03,65
484,Packplatz 01,4156,18.07.2022 15:31,123
153,Packplatz 06,7861,18.07.2022 21:47,41
363,Packplatz 08,2413,18.07.2022 16:29,88
985,Packplatz 04,4429,18.07.2022 21:50,301
747,Packplatz 02,7372,19.07.2022 00:14,445
766,Packplatz 06,8632,18.07.2022 20:59,478
630,Packplatz 06,7590,18.07.2022 17:30,425
185,Packplatz 09,9913,18.07.2022 16:25,36
795,Packplatz 03,4260,18.07.2022 20:55,122
532,Packplatz 07,7440,18.07.2022 23:27,266
592,Packplatz 08,4798,18.07.2022 19:30,356
746,Packplatz 03,2872,18.07.2022 17:43,197
446,Packplatz 07,3284,18.07.2022 17:57,462
776,Packplatz 01,9616,18.07.2022 17:05,200
729,Packplatz 01,5761,18.07.2022 23:06,141
380,Packplatz 06,8890,18.07.2022 19:48,208
789,Packplatz 08,1486,18.07.2022 18:36,59
555,Packplatz 09,5236,18.07.2022 21:43,276
860,Packplatz 03,4951,18.07.2022 17:43,412
635,Packplatz 01,8926,18.07.2022 19:40,148
259,Packplatz 01,2061,18.07.2022 18:02,228
253,Packplatz 10,8140,18.07.2022 18:00,166
691,Packplatz 06,2311,18.07.2022 23:29,142
175,Packplatz 03,6116,19.07.2022 00:03,386
676,Packplatz 02,9331,18.07.2022 20:59,386
