Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL,Lagereinheit_ID,Packplatz,Packzeitpunkt,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt
1099,14,18.07.2022 18:46,18.07.2022 21:49,18.07.2022 19:16,625,Packplatz 04,18.07.2022 18:14,111,Wareneingang,Hochregallager,2022-07-18 00:52:00,2022-07-18 03:27:00
1099,14,18.07.2022 18:46,18.07.2022 21:49,18.07.2022 19:16,625,Packplatz 04,18.07.2022 18:14,111,Hochregallager,Packplatz,2022-07-18 11:50:00,2022-07-18 14:23:00
1104,46,18.07.2022 22:05,18.07.2022 23:55,18.07.2022 22:35,406,Packplatz 05,18.07.2022 21:15,45,Wareneingang,Hochregallager,2022-07-18 15:45:00,2022-07-18 19:07:00
1104,46,18.07.2022 22:05,18.07.2022 23:55,18.07.2022 22:35,406,Packplatz 05,18.07.2022 21:15,45,Hochregallager,Packplatz,2022-07-18 16:17:00,2022-07-18 19:00:00
1106,78,18.07.2022 19:35,18.07.2022 20:29,18.07.2022 20:05,661,Packplatz 06,18.07.2022 17:08,465,Wareneingang,Hochregallager,2022-07-18 01:18:00,2022-07-18 03:44:00
1106,78,18.07.2022 19:35,18.07.2022 20:29,18.07.2022 20:05,661,Packplatz 06,18.07.2022 17:08,465,Hochregallager,Packplatz,2022-07-18 11:32:00,2022-07-18 13:40:00
1122,39,18.07.2022 23:22,18.07.2022 23:47,18.07.2022 23:52,885,Packplatz 02,18.07.2022 19:55,238,Wareneingang,Hochregallager,2022-07-18 08:56:00,2022-07-18 11:35:00
1122,39,18.07.2022 23:22,18.07.2022 23:47,18.07.2022 23:52,885,Packplatz 02,18.07.2022 19:55,238,Hochregallager,Packplatz,2022-07-18 18:59:00,2022-07-18 21:58:00
1123,95,18.07.2022 23:56,19.07.2022 00:15,19.07.2022 00:26,182,Packplatz 04,18.07.2022 22:03,396,Wareneingang,Hochregallager,2022-07-18 13:18:00,2022-07-18 16:46:00
1123,95,18.07.2022 23:56,19.07.2022 00:15,19.07.2022 00:26,182,Packplatz 04,18.07.2022 22:03,396,Hochregallager,Packplatz,2022-07-18 19:07:00,2022-07-18 22:01:00
1126,45,18.07.2022 19:51,18.07.2022 21:45,18.07.2022 20:21,976,Packplatz 05,18.07.2022 17:08,90,Wareneingang,Hochregallager,2022-07-18 02:46:00,2022-07-18 03:34:00
1126,45,18.07.2022 19:51,18.07.2022 21:45,18.07.2022 20:21,976,Packplatz 05,18.07.2022 17:08,90,Hochregallager,Packplatz,2022-07-18 12:19:00,2022-07-18 15:46:00
1138,81,18.07.2022 20:57,19.07.2022 00:40,18.07.2022 21:27,721,Packplatz 09,18.07.2022 20:24,388,Wareneingang,Hochregallager,2022-07-18 09:47:00,2022-07-18 13:43:00
1138,97,18.07.2022 20:46,18.07.2022 22:45,18.07.2022 21:16,721,Packplatz 09,18.07.2022 20:24,388,Wareneingang,Hochregallager,2022-07-18 09:47:00,2022-07-18 13:43:00
1138,81,18.07.2022 20:57,19.07.2022 00:40,18.07.2022 21:27,441,Packplatz 02,18.07.2022 18:08,444,Wareneingang,Hochregallager,2022-07-18 13:52:00,2022-07-18 15:19:00
1138,97,18.07.2022 20:46,18.07.2022 22:45,18.07.2022 21:16,441,Packplatz 02,18.07.2022 18:08,444,Wareneingang,Hochregallager,2022-07-18 13:52:00,2022-07-18 15:19:00
1138,81,18.07.2022 20:57,19.07.2022 00:40,18.07.2022 21:27,721,Packplatz 09,18.07.2022 20:24,388,Hochregallager,Packplatz,2022-07-18 18:20:00,2022-07-18 18:26:00
1138,97,18.07.2022 20:46,18.07.2022 22:45,18.07.2022 21:16,721,Packplatz 09,18.07.2022 20:24,388,Hochregallager,Packplatz,2022-07-18 18:20:00,2022-07-18 18:26:00
1138,81,18.07.2022 20:57,19.07.2022 00:40,18.07.2022 21:27,441,Packplatz 02,18.07.2022 18:08,444,Hochregallager,Packplatz,2022-07-18 20:06:00,2022-07-18 20:47:00
1138,97,18.07.2022 20:46,18.07.2022 22:45,18.07.2022 21:16,441,Packplatz 02,18.07.2022 18:08,444,Hochregallager,Packplatz,2022-07-18 20:06:00,2022-07-18 20:47:00
1156,32,18.07.2022 22:26,18.07.2022 22:35,18.07.2022 22:56,346,Packplatz 04,18.07.2022 21:09,216,Wareneingang,Hochregallager,2022-07-18 13:27:00,2022-07-18 13:30:00
1156,32,18.07.2022 22:26,18.07.2022 22:35,18.07.2022 22:56,346,Packplatz 04,18.07.2022 21:09,216,Hochregallager,Packplatz,2022-07-18 17:32:00,2022-07-18 18:28:00
1162,67,18.07.2022 18:58,18.07.2022 20:36,18.07.2022 19:28,773,Packplatz 09,18.07.2022 17:16,274,Hochregallager,Packplatz,2022-07-18 12:51:00,2022-07-18 14:48:00
1162,67,18.07.2022 18:58,18.07.2022 20:36,18.07.2022 19:28,773,Packplatz 09,18.07.2022 17:16,274,Wareneingang,Hochregallager,2022-07-18 14:02:00,2022-07-18 14:39:00
1178,79,18.07.2022 18:27,18.07.2022 20:30,18.07.2022 18:57,757,Packplatz 02,18.07.2022 17:13,53,Wareneingang,Hochregallager,2022-07-18 11:45:00,2022-07-18 15:22:00
1178,79,18.07.2022 18:27,18.07.2022 20:30,18.07.2022 18:57,757,Packplatz 02,18.07.2022 17:13,53,Hochregallager,Packplatz,2022-07-18 12:48:00,2022-07-18 16:07:00
1181,66,18.07.2022 21:50,18.07.2022 23:33,18.07.2022 22:20,773,Packplatz 05,18.07.2022 19:14,475,Hochregallager,Packplatz,2022-07-18 12:51:00,2022-07-18 14:48:00
1181,66,18.07.2022 21:50,18.07.2022 23:33,18.07.2022 22:20,773,Packplatz 05,18.07.2022 19:14,475,Wareneingang,Hochregallager,2022-07-18 14:02:00,2022-07-18 14:39:00
1194,66,18.07.2022 18:31,18.07.2022 20:27,18.07.2022 19:01,747,Packplatz 06,18.07.2022 16:17,216,Wareneingang,Hochregallager,2022-07-18 07:58:00,2022-07-18 09:47:00
1194,66,18.07.2022 18:31,18.07.2022 20:27,18.07.2022 19:01,747,Packplatz 06,18.07.2022 16:17,216,Hochregallager,Packplatz,2022-07-18 14:32:00,2022-07-18 16:17:00
1203,67,18.07.2022 21:38,19.07.2022 01:04,18.07.2022 22:08,146,Packplatz 09,18.07.2022 19:52,373,Wareneingang,Hochregallager,2022-07-18 08:15:00,2022-07-18 11:50:00
1203,67,18.07.2022 21:38,19.07.2022 01:04,18.07.2022 22:08,146,Packplatz 09,18.07.2022 19:52,373,Hochregallager,Packplatz,2022-07-18 16:55:00,2022-07-18 18:16:00
1236,61,18.07.2022 23:48,19.07.2022 03:14,19.07.2022 00:18,911,Packplatz 05,18.07.2022 20:39,96,Wareneingang,Hochregallager,2022-07-18 05:54:00,2022-07-18 09:07:00
1236,61,18.07.2022 23:48,19.07.2022 03:14,19.07.2022 00:18,911,Packplatz 05,18.07.2022 20:39,96,Hochregallager,Packplatz,2022-07-18 15:56:00,2022-07-18 19:48:00
1252,51,18.07.2022 21:28,18.07.2022 22:52,18.07.2022 21:58,345,Packplatz 05,18.07.2022 18:35,180,Wareneingang,Hochregallager,2022-07-17 21:44:00,2022-07-18 01:24:00
1252,51,18.07.2022 21:28,18.07.2022 22:52,18.07.2022 21:58,345,Packplatz 05,18.07.2022 18:35,180,Hochregallager,Packplatz,2022-07-18 13:52:00,2022-07-18 14:45:00
1262,27,19.07.2022 02:13,19.07.2022 04:30,19.07.2022 02:43,697,Packplatz 01,18.07.2022 22:43,430,Wareneingang,Hochregallager,2022-07-18 05:18:00,2022-07-18 06:57:00
1262,27,19.07.2022 02:13,19.07.2022 04:30,19.07.2022 02:43,697,Packplatz 01,18.07.2022 22:43,430,Hochregallager,Packplatz,2022-07-18 15:52:00,2022-07-18 19:28:00
1264,17,18.07.2022 20:21,18.07.2022 21:13,18.07.2022 20:51,239,Packplatz 02,18.07.2022 18:33,241,Wareneingang,Hochregallager,2022-07-18 14:56:00,2022-07-18 16:04:00
1264,17,18.07.2022 20:21,18.07.2022 21:13,18.07.2022 20:51,239,Packplatz 02,18.07.2022 18:33,241,Hochregallager,Packplatz,2022-07-18 16:40:00,2022-07-18 16:43:00
1268,58,18.07.2022 23:39,19.07.2022 03:22,19.07.2022 00:09,383,Packplatz 01,18.07.2022 20:59,68,Wareneingang,Hochregallager,2022-07-18 05:55:00,2022-07-18 08:50:00
1268,58,18.07.2022 23:39,19.07.2022 03:22,19.07.2022 00:09,383,Packplatz 01,18.07.2022 20:59,68,Hochregallager,Packplatz,2022-07-18 17:32:00,2022-07-18 19:37:00
1279,48,18.07.2022 18:57,18.07.2022 21:56,18.07.2022 19:27,612,Packplatz 09,18.07.2022 15:47,327,Hochregallager,Packplatz,2022-07-18 12:42:00,2022-07-18 15:38:00
1279,48,18.07.2022 18:57,18.07.2022 21:56,18.07.2022 19:27,612,Packplatz 09,18.07.2022 15:47,327,Wareneingang,Hochregallager,2022-07-18 14:26:00,2022-07-18 15:39:00
1282,29,18.07.2022 21:34,19.07.2022 01:33,18.07.2022 22:04,962,Packplatz 04,18.07.2022 20:08,145,Wareneingang,Hochregallager,2022-07-17 23:58:00,2022-07-18 01:12:00
1282,29,18.07.2022 21:34,19.07.2022 01:33,18.07.2022 22:04,962,Packplatz 04,18.07.2022 20:08,145,Hochregallager,Packplatz,2022-07-18 14:48:00,2022-07-18 18:03:00
1296,11,18.07.2022 22:09,18.07.2022 22:51,18.07.2022 22:39,642,Packplatz 03,18.07.2022 21:59,5,Wareneingang,Hochregallager,2022-07-18 08:52:00,2022-07-18 09:49:00
1296,11,18.07.2022 22:09,18.07.2022 22:51,18.07.2022 22:39,642,Packplatz 03,18.07.2022 21:59,5,Hochregallager,Packplatz,2022-07-18 21:30:00,2022-07-18 21:45:00
1301,84,18.07.2022 21:22,18.07.2022 23:43,18.07.2022 21:52,265,Packplatz 08,18.07.2022 21:08,363,Wareneingang,Hochregallager,2022-07-18 12:53:00,2022-07-18 14:17:00
1301,84,18.07.2022 21:22,18.07.2022 23:43,18.07.2022 21:52,265,Packplatz 08,18.07.2022 21:08,363,Hochregallager,Packplatz,2022-07-18 15:30:00,2022-07-18 19:15:00
1302,67,18.07.2022 20:44,18.07.2022 23:04,18.07.2022 21:14,127,Packplatz 05,18.07.2022 18:29,105,Hochregallager,Packplatz,2022-07-18 14:50:00,2022-07-18 17:02:00
1302,67,18.07.2022 20:44,18.07.2022 23:04,18.07.2022 21:14,127,Packplatz 05,18.07.2022 18:29,105,Wareneingang,Hochregallager,2022-07-18 16:52:00,2022-07-18 18:38:00
1308,89,18.07.2022 19:55,18.07.2022 21:23,18.07.2022 20:25,748,Packplatz 06,18.07.2022 17:54,73,Wareneingang,Hochregallager,2022-07-18 07:42:00,2022-07-18 10:48:00
1308,89,18.07.2022 19:55,18.07.2022 21:23,18.07.2022 20:25,748,Packplatz 06,18.07.2022 17:54,73,Hochregallager,Packplatz,2022-07-18 12:08:00,2022-07-18 13:15:00
1317,22,18.07.2022 23:19,19.07.2022 03:04,18.07.2022 23:49,238,Packplatz 03,18.07.2022 20:40,374,Wareneingang,Hochregallager,2022-07-18 01:13:00,2022-07-18 01:18:00
1317,22,18.07.2022 23:19,19.07.2022 03:04,18.07.2022 23:49,238,Packplatz 03,18.07.2022 20:40,374,Hochregallager,Packplatz,2022-07-18 16:35:00,2022-07-18 19:10:00
1330,82,18.07.2022 21:15,19.07.2022 00:13,18.07.2022 21:45,717,Packplatz 07,18.07.2022 18:36,202,Wareneingang,Hochregallager,2022-07-18 13:45:00,2022-07-18 15:23:00
1330,82,18.07.2022 21:15,19.07.2022 00:13,18.07.2022 21:45,717,Packplatz 07,18.07.2022 18:36,202,Hochregallager,Packplatz,2022-07-18 14:20:00,2022-07-18 15:59:00
1340,74,18.07.2022 20:47,18.07.2022 21:47,18.07.2022 21:17,552,Packplatz 04,18.07.2022 17:25,395,Wareneingang,Hochregallager,2022-07-18 09:09:00,2022-07-18 10:49:00
1340,74,18.07.2022 20:47,18.07.2022 21:47,18.07.2022 21:17,552,Packplatz 04,18.07.2022 17:25,395,Hochregallager,Packplatz,2022-07-18 16:17:00,2022-07-18 18:50:00
1348,51,19.07.2022 00:01,19.07.2022 03:52,19.07.2022 00:31,217,Packplatz 02,18.07.2022 21:28,155,Wareneingang,Hochregallager,2022-07-18 07:07:00,2022-07-18 08:13:00
1348,51,19.07.2022 00:01,19.07.2022 03:52,19.07.2022 00:31,217,Packplatz 02,18.07.2022 21:28,155,Hochregallager,Packplatz,2022-07-18 16:01:00,2022-07-18 17:45:00
1352,98,18.07.2022 21:23,18.07.2022 23:03,18.07.2022 21:53,854,Packplatz 06,18.07.2022 17:32,226,Wareneingang,Hochregallager,2022-07-17 20:50:00,2022-07-17 21:58:00
1352,98,18.07.2022 21:23,18.07.2022 23:03,18.07.2022 21:53,854,Packplatz 06,18.07.2022 17:32,226,Hochregallager,Packplatz,2022-07-18 13:06:00,2022-07-18 16:19:00
1357,83,18.07.2022 23:39,19.07.2022 01:43,19.07.2022 00:09,575,Packplatz 01,18.07.2022 19:48,379,Wareneingang,Hochregallager,2022-07-17 21:53:00,2022-07-18 00:09:00
1357,83,18.07.2022 23:39,19.07.2022 01:43,19.07.2022 00:09,575,Packplatz 01,18.07.2022 19:48,379,Hochregallager,Packplatz,2022-07-18 17:06:00,2022-07-18 18:46:00
1360,92,19.07.2022 01:18,19.07.2022 02:53,19.07.2022 01:48,826,Packplatz 07,19.07.2022 01:01,124,Wareneingang,Hochregallager,2022-07-17 23:06:00,2022-07-18 02:00:00
1360,55,18.07.2022 22:17,18.07.2022 22:49,18.07.2022 22:47,826,Packplatz 07,19.07.2022 01:01,124,Wareneingang,Hochregallager,2022-07-17 23:06:00,2022-07-18 02:00:00
1360,92,19.07.2022 01:18,19.07.2022 02:53,19.07.2022 01:48,189,Packplatz 03,18.07.2022 22:05,422,Wareneingang,Hochregallager,2022-07-18 00:33:00,2022-07-18 01:11:00
1360,55,18.07.2022 22:17,18.07.2022 22:49,18.07.2022 22:47,189,Packplatz 03,18.07.2022 22:05,422,Wareneingang,Hochregallager,2022-07-18 00:33:00,2022-07-18 01:11:00
1360,92,19.07.2022 01:18,19.07.2022 02:53,19.07.2022 01:48,189,Packplatz 03,18.07.2022 22:05,422,Hochregallager,Packplatz,2022-07-18 19:22:00,2022-07-18 20:35:00
1360,55,18.07.2022 22:17,18.07.2022 22:49,18.07.2022 22:47,189,Packplatz 03,18.07.2022 22:05,422,Hochregallager,Packplatz,2022-07-18 19:22:00,2022-07-18 20:35:00
1360,92,19.07.2022 01:18,19.07.2022 02:53,19.07.2022 01:48,826,Packplatz 07,19.07.2022 01:01,124,Hochregallager,Packplatz,2022-07-18 20:57:00,2022-07-18 23:44:00
1360,55,18.07.2022 22:17,18.07.2022 22:49,18.07.2022 22:47,826,Packplatz 07,19.07.2022 01:01,124,Hochregallager,Packplatz,2022-07-18 20:57:00,2022-07-18 23:44:00
1362,42,18.07.2022 22:54,19.07.2022 01:50,18.07.2022 23:24,316,Packplatz 10,18.07.2022 22:09,63,Wareneingang,Hochregallager,2022-07-18 04:57:00,2022-07-18 07:49:00
1362,86,19.07.2022 00:27,19.07.2022 01:01,19.07.2022 00:57,316,Packplatz 10,18.07.2022 22:09,63,Wareneingang,Hochregallager,2022-07-18 04:57:00,2022-07-18 07:49:00
1362,42,18.07.2022 22:54,19.07.2022 01:50,18.07.2022 23:24,782,Packplatz 06,18.07.2022 22:42,263,Wareneingang,Hochregallager,2022-07-18 09:55:00,2022-07-18 10:44:00
1362,86,19.07.2022 00:27,19.07.2022 01:01,19.07.2022 00:57,782,Packplatz 06,18.07.2022 22:42,263,Wareneingang,Hochregallager,2022-07-18 09:55:00,2022-07-18 10:44:00
1362,42,18.07.2022 22:54,19.07.2022 01:50,18.07.2022 23:24,316,Packplatz 10,18.07.2022 22:09,63,Hochregallager,Packplatz,2022-07-18 16:07:00,2022-07-18 16:32:00
1362,86,19.07.2022 00:27,19.07.2022 01:01,19.07.2022 00:57,316,Packplatz 10,18.07.2022 22:09,63,Hochregallager,Packplatz,2022-07-18 16:07:00,2022-07-18 16:32:00
1362,42,18.07.2022 22:54,19.07.2022 01:50,18.07.2022 23:24,782,Packplatz 06,18.07.2022 22:42,263,Hochregallager,Packplatz,2022-07-18 18:43:00,2022-07-18 19:05:00
1362,86,19.07.2022 00:27,19.07.2022 01:01,19.07.2022 00:57,782,Packplatz 06,18.07.2022 22:42,263,Hochregallager,Packplatz,2022-07-18 18:43:00,2022-07-18 19:05:00
1374,89,18.07.2022 21:21,18.07.2022 22:33,18.07.2022 21:51,801,Packplatz 02,18.07.2022 18:19,211,Wareneingang,Hochregallager,2022-07-18 08:59:00,2022-07-18 11:45:00
1374,89,18.07.2022 21:21,18.07.2022 22:33,18.07.2022 21:51,801,Packplatz 02,18.07.2022 18:19,211,Hochregallager,Packplatz,2022-07-18 14:45:00,2022-07-18 17:41:00
1377,37,18.07.2022 19:03,18.07.2022 19:27,18.07.2022 19:33,204,Packplatz 09,18.07.2022 18:38,388,Wareneingang,Hochregallager,2022-07-18 09:49:00,2022-07-18 10:13:00
1377,37,18.07.2022 19:03,18.07.2022 19:27,18.07.2022 19:33,204,Packplatz 09,18.07.2022 18:38,388,Hochregallager,Packplatz,2022-07-18 12:25:00,2022-07-18 16:15:00
1379,23,18.07.2022 21:30,18.07.2022 21:35,18.07.2022 22:00,408,Packplatz 02,18.07.2022 17:45,84,Wareneingang,Hochregallager,2022-07-18 10:01:00,2022-07-18 12:43:00
1379,23,18.07.2022 21:30,18.07.2022 21:35,18.07.2022 22:00,408,Packplatz 02,18.07.2022 17:45,84,Hochregallager,Packplatz,2022-07-18 13:08:00,2022-07-18 16:30:00
1414,35,18.07.2022 23:43,19.07.2022 01:14,19.07.2022 00:13,703,Packplatz 04,18.07.2022 21:07,168,Wareneingang,Hochregallager,2022-07-18 14:27:00,2022-07-18 16:22:00
1414,35,18.07.2022 23:43,19.07.2022 01:14,19.07.2022 00:13,703,Packplatz 04,18.07.2022 21:07,168,Hochregallager,Packplatz,2022-07-18 18:20:00,2022-07-18 19:32:00
1417,86,18.07.2022 21:44,19.07.2022 00:33,18.07.2022 22:14,723,Packplatz 01,18.07.2022 20:13,219,Wareneingang,Hochregallager,2022-07-18 09:28:00,2022-07-18 10:11:00
1417,86,18.07.2022 21:44,19.07.2022 00:33,18.07.2022 22:14,723,Packplatz 01,18.07.2022 20:13,219,Hochregallager,Packplatz,2022-07-18 15:48:00,2022-07-18 16:14:00
1423,42,18.07.2022 22:39,19.07.2022 02:09,18.07.2022 23:09,106,Packplatz 05,18.07.2022 19:42,30,Hochregallager,Packplatz,2022-07-18 11:36:00,2022-07-18 14:55:00
1423,42,18.07.2022 22:39,19.07.2022 02:09,18.07.2022 23:09,106,Packplatz 05,18.07.2022 19:42,30,Wareneingang,Hochregallager,2022-07-18 12:37:00,2022-07-18 16:01:00
1434,77,18.07.2022 22:31,18.07.2022 22:55,18.07.2022 23:01,578,Packplatz 06,18.07.2022 21:04,164,Wareneingang,Hochregallager,2022-07-18 07:07:00,2022-07-18 07:20:00
1434,77,18.07.2022 22:31,18.07.2022 22:55,18.07.2022 23:01,578,Packplatz 06,18.07.2022 21:04,164,Hochregallager,Packplatz,2022-07-18 17:22:00,2022-07-18 19:52:00
1438,64,18.07.2022 20:54,19.07.2022 00:29,18.07.2022 21:24,490,Packplatz 05,18.07.2022 18:04,214,Wareneingang,Hochregallager,2022-07-18 13:33:00,2022-07-18 14:47:00
1438,64,18.07.2022 20:54,19.07.2022 00:29,18.07.2022 21:24,490,Packplatz 05,18.07.2022 18:04,214,Hochregallager,Packplatz,2022-07-18 14:49:00,2022-07-18 16:33:00
1442,59,18.07.2022 20:47,18.07.2022 23:18,18.07.2022 21:17,756,Packplatz 05,18.07.2022 20:12,301,Wareneingang,Hochregallager,2022-07-18 09:47:00,2022-07-18 11:20:00
1442,59,18.07.2022 20:47,18.07.2022 23:18,18.07.2022 21:17,756,Packplatz 05,18.07.2022 20:12,301,Hochregallager,Packplatz,2022-07-18 16:16:00,2022-07-18 17:51:00
1444,93,18.07.2022 22:46,19.07.2022 01:58,18.07.2022 23:16,854,Packplatz 02,18.07.2022 21:56,222,Wareneingang,Hochregallager,2022-07-17 20:50:00,2022-07-17 21:58:00
1444,93,18.07.2022 22:46,19.07.2022 01:58,18.07.2022 23:16,854,Packplatz 02,18.07.2022 21:56,222,Hochregallager,Packplatz,2022-07-18 13:06:00,2022-07-18 16:19:00
1456,78,18.07.2022 22:21,19.07.2022 00:07,18.07.2022 22:51,613,Packplatz 02,18.07.2022 18:53,1,Wareneingang,Hochregallager,2022-07-18 11:00:00,2022-07-18 11:41:00
1456,78,18.07.2022 22:21,19.07.2022 00:07,18.07.2022 22:51,613,Packplatz 02,18.07.2022 18:53,1,Hochregallager,Packplatz,2022-07-18 18:11:00,2022-07-18 20:12:00
1460,10,19.07.2022 01:29,19.07.2022 03:19,19.07.2022 01:59,506,Packplatz 03,19.07.2022 01:26,31,Wareneingang,Hochregallager,2022-07-18 06:24:00,2022-07-18 08:28:00
1460,10,19.07.2022 01:29,19.07.2022 03:19,19.07.2022 01:59,506,Packplatz 03,19.07.2022 01:26,31,Hochregallager,Packplatz,2022-07-18 11:28:00,2022-07-18 15:23:00
1480,94,18.07.2022 21:41,18.07.2022 23:53,18.07.2022 22:11,560,Packplatz 06,18.07.2022 20:11,226,Wareneingang,Hochregallager,2022-07-18 06:46:00,2022-07-18 08:26:00
1480,94,18.07.2022 21:41,18.07.2022 23:53,18.07.2022 22:11,560,Packplatz 06,18.07.2022 20:11,226,Hochregallager,Packplatz,2022-07-18 14:01:00,2022-07-18 17:20:00
1486,18,18.07.2022 21:52,18.07.2022 22:12,18.07.2022 22:22,789,Packplatz 08,18.07.2022 18:36,59,Wareneingang,Hochregallager,2022-07-18 10:49:00,2022-07-18 13:42:00
1486,18,18.07.2022 21:52,18.07.2022 22:12,18.07.2022 22:22,789,Packplatz 08,18.07.2022 18:36,59,Hochregallager,Packplatz,2022-07-18 15:38:00,2022-07-18 17:56:00
1529,86,18.07.2022 21:38,18.07.2022 22:54,18.07.2022 22:08,272,Packplatz 01,18.07.2022 19:07,469,Hochregallager,Packplatz,2022-07-18 12:52:00,2022-07-18 16:25:00
1529,86,18.07.2022 21:38,18.07.2022 22:54,18.07.2022 22:08,272,Packplatz 01,18.07.2022 19:07,469,Wareneingang,Hochregallager,2022-07-18 15:20:00,2022-07-18 15:24:00
1549,99,18.07.2022 19:41,18.07.2022 20:08,18.07.2022 20:11,795,Packplatz 03,18.07.2022 17:43,379,Wareneingang,Hochregallager,2022-07-18 03:19:00,2022-07-18 06:29:00
1549,99,18.07.2022 19:41,18.07.2022 20:08,18.07.2022 20:11,795,Packplatz 03,18.07.2022 17:43,379,Hochregallager,Packplatz,2022-07-18 18:58:00,2022-07-18 21:41:00
1551,89,18.07.2022 22:59,19.07.2022 01:56,18.07.2022 23:29,921,Packplatz 09,18.07.2022 21:31,32,Wareneingang,Hochregallager,2022-07-18 12:58:00,2022-07-18 13:49:00
1551,89,18.07.2022 22:59,19.07.2022 01:56,18.07.2022 23:29,921,Packplatz 09,18.07.2022 21:31,32,Hochregallager,Packplatz,2022-07-18 15:42:00,2022-07-18 18:56:00
1573,65,18.07.2022 23:16,19.07.2022 00:00,18.07.2022 23:46,803,Packplatz 01,18.07.2022 19:17,358,Wareneingang,Hochregallager,2022-07-18 07:08:00,2022-07-18 08:37:00
