case_id,process_activity,Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL,Lagereinheit_ID,Packplatz,Packzeitpunkt,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt,Verspaetung,Lagerort
1105_641_18,Waren kommissionieren,1105,18,26.04.2022 18:48,26.04.2022 18:59,26.04.2022 19:18,641,Packplatz 06,26.04.2022 17:49,385,Hochregallager,Packplatz,2022-04-26 12:32:00,???,False,Packplatz
1114_236_50,Ware vereinnahmen,1114,50,26.04.2022 21:37,27.04.2022 00:01,26.04.2022 22:07,236,Packplatz 07,26.04.2022 20:52,216,Wareneingang,Hochregallager,??? ,2022-04-26 05:43:00,True,Wareneingang
1114_236_50,Waren lagern,1114,50,26.04.2022 21:37,27.04.2022 00:01,26.04.2022 22:07,236,Packplatz 07,26.04.2022 20:52,216,Hochregallager,Hochregallager,2022-04-26 08:22:00,2022-04-26 15:41:00,True,Hochregallager
1114_236_50,Waren kommissionieren,1114,50,26.04.2022 21:37,27.04.2022 00:01,26.04.2022 22:07,236,Packplatz 07,26.04.2022 20:52,216,Hochregallager,Packplatz,2022-04-26 18:47:00,???,True,Packplatz
1139_500_33,Ware vereinnahmen,1139,33,26.04.2022 17:37,26.04.2022 20:21,26.04.2022 18:07,500,Packplatz 07,26.04.2022 15:38,161,Wareneingang,Hochregallager,??? ,2022-04-26 07:21:00,True,Wareneingang
1139_500_33,Waren lagern,1139,33,26.04.2022 17:37,26.04.2022 20:21,26.04.2022 18:07,500,Packplatz 07,26.04.2022 15:38,161,Hochregallager,Hochregallager,2022-04-26 10:10:00,2022-04-26 12:27:00,True,Hochregallager
1139_500_33,Waren kommissionieren,1139,33,26.04.2022 17:37,26.04.2022 20:21,26.04.2022 18:07,500,Packplatz 07,26.04.2022 15:38,161,Hochregallager,Packplatz,2022-04-26 16:17:00,???,True,Packplatz
1142_942_10,Ware vereinnahmen,1142,10,26.04.2022 21:42,27.04.2022 01:42,26.04.2022 22:12,942,Packplatz 01,26.04.2022 19:41,399,Wareneingang,Hochregallager,??? ,2022-04-26 07:13:00,True,Wareneingang
1142_942_10,Waren lagern,1142,10,26.04.2022 21:42,27.04.2022 01:42,26.04.2022 22:12,942,Packplatz 01,26.04.2022 19:41,399,Hochregallager,Hochregallager,2022-04-26 10:51:00,2022-04-26 16:17:00,True,Hochregallager
1142_942_10,Waren kommissionieren,1142,10,26.04.2022 21:42,27.04.2022 01:42,26.04.2022 22:12,942,Packplatz 01,26.04.2022 19:41,399,Hochregallager,Packplatz,2022-04-26 18:43:00,???,True,Packplatz
1147_351_78,Ware vereinnahmen,1147,78,26.04.2022 20:21,26.04.2022 23:07,26.04.2022 20:51,351,Packplatz 09,26.04.2022 19:49,291,Wareneingang,Hochregallager,??? ,2022-04-26 03:06:00,True,Wareneingang
1147_351_78,Waren lagern,1147,78,26.04.2022 20:21,26.04.2022 23:07,26.04.2022 20:51,351,Packplatz 09,26.04.2022 19:49,291,Hochregallager,Hochregallager,2022-04-26 05:25:00,2022-04-26 13:16:00,True,Hochregallager
1147_351_78,Waren kommissionieren,1147,78,26.04.2022 20:21,26.04.2022 23:07,26.04.2022 20:51,351,Packplatz 09,26.04.2022 19:49,291,Hochregallager,Packplatz,2022-04-26 17:10:00,???,True,Packplatz
1156_865_18,Ware vereinnahmen,1156,18,26.04.2022 19:42,26.04.2022 23:34,26.04.2022 20:12,865,Packplatz 05,26.04.2022 18:31,61,Wareneingang,Hochregallager,??? ,2022-04-26 08:29:00,True,Wareneingang
1156_865_18,Waren lagern,1156,18,26.04.2022 19:42,26.04.2022 23:34,26.04.2022 20:12,865,Packplatz 05,26.04.2022 18:31,61,Hochregallager,Hochregallager,2022-04-26 09:48:00,2022-04-26 14:50:00,True,Hochregallager
1156_865_18,Waren kommissionieren,1156,18,26.04.2022 19:42,26.04.2022 23:34,26.04.2022 20:12,865,Packplatz 05,26.04.2022 18:31,61,Hochregallager,Packplatz,2022-04-26 16:44:00,???,True,Packplatz
1158_795_91,Ware vereinnahmen,1158,91,26.04.2022 19:07,26.04.2022 21:27,26.04.2022 19:37,795,Packplatz 04,26.04.2022 17:11,25,Wareneingang,Hochregallager,??? ,2022-04-26 14:28:00,True,Wareneingang
1158_795_91,Waren lagern,1158,91,26.04.2022 19:07,26.04.2022 21:27,26.04.2022 19:37,795,Packplatz 04,26.04.2022 17:11,25,Hochregallager,Hochregallager,2022-04-26 17:01:00,2022-04-26 13:24:00,True,Hochregallager
1158_795_91,Waren kommissionieren,1158,91,26.04.2022 19:07,26.04.2022 21:27,26.04.2022 19:37,795,Packplatz 04,26.04.2022 17:11,25,Hochregallager,Packplatz,2022-04-26 16:36:00,???,True,Packplatz
1159_103_64,Ware vereinnahmen,1159,64,26.04.2022 14:26,26.04.2022 15:16,26.04.2022 14:56,103,Packplatz 06,26.04.2022 12:56,53,Wareneingang,Hochregallager,??? ,2022-04-26 00:26:00,True,Wareneingang
1159_103_64,Waren lagern,1159,64,26.04.2022 14:26,26.04.2022 15:16,26.04.2022 14:56,103,Packplatz 06,26.04.2022 12:56,53,Hochregallager,Hochregallager,2022-04-26 02:29:00,2022-04-26 08:52:00,True,Hochregallager
1159_103_64,Waren kommissionieren,1159,64,26.04.2022 14:26,26.04.2022 15:16,26.04.2022 14:56,103,Packplatz 06,26.04.2022 12:56,53,Hochregallager,Packplatz,2022-04-26 12:48:00,???,True,Packplatz
1171_976_62,Ware vereinnahmen,1171,62,26.04.2022 18:34,26.04.2022 21:47,26.04.2022 19:04,976,Packplatz 06,26.04.2022 15:47,340,Wareneingang,Hochregallager,??? ,2022-04-26 05:11:00,True,Wareneingang
1171_976_62,Waren lagern,1171,62,26.04.2022 18:34,26.04.2022 21:47,26.04.2022 19:04,976,Packplatz 06,26.04.2022 15:47,340,Hochregallager,Hochregallager,2022-04-26 07:13:00,2022-04-26 11:48:00,True,Hochregallager
1171_976_62,Waren kommissionieren,1171,62,26.04.2022 18:34,26.04.2022 21:47,26.04.2022 19:04,976,Packplatz 06,26.04.2022 15:47,340,Hochregallager,Packplatz,2022-04-26 12:24:00,???,True,Packplatz
1189_147_59,Ware vereinnahmen,1189,59,26.04.2022 20:13,27.04.2022 00:03,26.04.2022 20:43,147,Packplatz 01,26.04.2022 19:06,471,Wareneingang,Hochregallager,??? ,2022-04-25 20:09:00,True,Wareneingang
1189_147_59,Waren lagern,1189,59,26.04.2022 20:13,27.04.2022 00:03,26.04.2022 20:43,147,Packplatz 01,26.04.2022 19:06,471,Hochregallager,Hochregallager,2022-04-25 21:04:00,2022-04-26 15:08:00,True,Hochregallager
1189_147_59,Waren kommissionieren,1189,59,26.04.2022 20:13,27.04.2022 00:03,26.04.2022 20:43,147,Packplatz 01,26.04.2022 19:06,471,Hochregallager,Packplatz,2022-04-26 16:45:00,???,True,Packplatz
1201_981_11,Ware vereinnahmen,1201,11,26.04.2022 15:05,26.04.2022 18:21,26.04.2022 15:35,981,Packplatz 04,26.04.2022 12:32,334,Wareneingang,Hochregallager,??? ,2022-04-26 05:19:00,True,Wareneingang
1201_981_11,Waren lagern,1201,11,26.04.2022 15:05,26.04.2022 18:21,26.04.2022 15:35,981,Packplatz 04,26.04.2022 12:32,334,Hochregallager,Hochregallager,2022-04-26 07:58:00,2022-04-26 10:23:00,True,Hochregallager
1201_981_11,Waren kommissionieren,1201,11,26.04.2022 15:05,26.04.2022 18:21,26.04.2022 15:35,981,Packplatz 04,26.04.2022 12:32,334,Hochregallager,Packplatz,2022-04-26 10:29:00,???,True,Packplatz
1202_943_75,Ware vereinnahmen,1202,75,26.04.2022 15:55,26.04.2022 17:19,26.04.2022 16:25,943,Packplatz 05,26.04.2022 12:49,98,Wareneingang,Hochregallager,??? ,2022-04-26 07:04:00,True,Wareneingang
1202_943_75,Waren lagern,1202,75,26.04.2022 15:55,26.04.2022 17:19,26.04.2022 16:25,943,Packplatz 05,26.04.2022 12:49,98,Hochregallager,Hochregallager,2022-04-26 09:43:00,2022-04-26 08:43:00,True,Hochregallager
1202_943_75,Waren kommissionieren,1202,75,26.04.2022 15:55,26.04.2022 17:19,26.04.2022 16:25,943,Packplatz 05,26.04.2022 12:49,98,Hochregallager,Packplatz,2022-04-26 11:52:00,???,True,Packplatz
1204_369_87,Ware vereinnahmen,1204,87,26.04.2022 23:02,26.04.2022 23:23,26.04.2022 23:32,369,Packplatz 01,26.04.2022 19:02,108,Wareneingang,Hochregallager,??? ,2022-04-26 13:30:00,False,Wareneingang
1204_369_87,Waren lagern,1204,87,26.04.2022 23:02,26.04.2022 23:23,26.04.2022 23:32,369,Packplatz 01,26.04.2022 19:02,108,Hochregallager,Hochregallager,2022-04-26 14:48:00,2022-04-26 11:45:00,False,Hochregallager
1204_369_87,Waren kommissionieren,1204,87,26.04.2022 23:02,26.04.2022 23:23,26.04.2022 23:32,369,Packplatz 01,26.04.2022 19:02,108,Hochregallager,Packplatz,2022-04-26 13:53:00,???,False,Packplatz
1206_794_34,Ware vereinnahmen,1206,34,26.04.2022 17:41,26.04.2022 20:07,26.04.2022 18:11,794,Packplatz 10,26.04.2022 16:41,237,Wareneingang,Hochregallager,??? ,2022-04-26 10:38:00,True,Wareneingang
1206_794_34,Waren lagern,1206,34,26.04.2022 17:41,26.04.2022 20:07,26.04.2022 18:11,794,Packplatz 10,26.04.2022 16:41,237,Hochregallager,Hochregallager,2022-04-26 10:57:00,2022-04-26 13:48:00,True,Hochregallager
1206_794_34,Waren kommissionieren,1206,34,26.04.2022 17:41,26.04.2022 20:07,26.04.2022 18:11,794,Packplatz 10,26.04.2022 16:41,237,Hochregallager,Packplatz,2022-04-26 17:34:00,???,True,Packplatz
1210_422_19,Ware vereinnahmen,1210,19,26.04.2022 13:56,26.04.2022 14:46,26.04.2022 14:26,422,Packplatz 05,26.04.2022 11:54,145,Wareneingang,Hochregallager,??? ,2022-04-26 07:45:00,True,Wareneingang
1210_422_19,Waren lagern,1210,19,26.04.2022 13:56,26.04.2022 14:46,26.04.2022 14:26,422,Packplatz 05,26.04.2022 11:54,145,Hochregallager,Hochregallager,2022-04-26 10:56:00,2022-04-26 07:35:00,True,Hochregallager
1210_422_19,Waren kommissionieren,1210,19,26.04.2022 13:56,26.04.2022 14:46,26.04.2022 14:26,422,Packplatz 05,26.04.2022 11:54,145,Hochregallager,Packplatz,2022-04-26 11:24:00,???,True,Packplatz
1226_270_88,Ware vereinnahmen,1226,88,26.04.2022 21:31,27.04.2022 01:01,26.04.2022 22:01,270,Packplatz 02,26.04.2022 15:47,22,Wareneingang,Hochregallager,??? ,2022-04-26 02:44:00,True,Wareneingang
1226_270_88,Waren lagern,1226,88,26.04.2022 21:31,27.04.2022 01:01,26.04.2022 22:01,270,Packplatz 02,26.04.2022 15:47,22,Hochregallager,Hochregallager,2022-04-26 05:29:00,2022-04-26 11:16:00,True,Hochregallager
1226_270_88,Waren kommissionieren,1226,88,26.04.2022 21:31,27.04.2022 01:01,26.04.2022 22:01,270,Packplatz 02,26.04.2022 15:47,22,Hochregallager,Packplatz,2022-04-26 14:03:00,???,True,Packplatz
1226_270_37,Ware vereinnahmen,1226,37,26.04.2022 16:39,26.04.2022 20:17,26.04.2022 17:09,270,Packplatz 02,26.04.2022 15:47,22,Wareneingang,Hochregallager,??? ,2022-04-26 02:44:00,True,Wareneingang
1226_270_37,Waren lagern,1226,37,26.04.2022 16:39,26.04.2022 20:17,26.04.2022 17:09,270,Packplatz 02,26.04.2022 15:47,22,Hochregallager,Hochregallager,2022-04-26 05:29:00,2022-04-26 11:16:00,True,Hochregallager
1226_270_37,Waren kommissionieren,1226,37,26.04.2022 16:39,26.04.2022 20:17,26.04.2022 17:09,270,Packplatz 02,26.04.2022 15:47,22,Hochregallager,Packplatz,2022-04-26 14:03:00,???,True,Packplatz
1226_333_88,Ware vereinnahmen,1226,88,26.04.2022 21:31,27.04.2022 01:01,26.04.2022 22:01,333,Packplatz 10,26.04.2022 20:51,227,Wareneingang,Hochregallager,??? ,2022-04-26 06:13:00,True,Wareneingang
1226_333_88,Waren lagern,1226,88,26.04.2022 21:31,27.04.2022 01:01,26.04.2022 22:01,333,Packplatz 10,26.04.2022 20:51,227,Hochregallager,Hochregallager,2022-04-26 06:50:00,2022-04-26 15:50:00,True,Hochregallager
1226_333_88,Waren kommissionieren,1226,88,26.04.2022 21:31,27.04.2022 01:01,26.04.2022 22:01,333,Packplatz 10,26.04.2022 20:51,227,Hochregallager,Packplatz,2022-04-26 17:22:00,???,True,Packplatz
1226_333_37,Ware vereinnahmen,1226,37,26.04.2022 16:39,26.04.2022 20:17,26.04.2022 17:09,333,Packplatz 10,26.04.2022 20:51,227,Wareneingang,Hochregallager,??? ,2022-04-26 06:13:00,True,Wareneingang
1226_333_37,Waren lagern,1226,37,26.04.2022 16:39,26.04.2022 20:17,26.04.2022 17:09,333,Packplatz 10,26.04.2022 20:51,227,Hochregallager,Hochregallager,2022-04-26 06:50:00,2022-04-26 15:50:00,True,Hochregallager
1226_333_37,Waren kommissionieren,1226,37,26.04.2022 16:39,26.04.2022 20:17,26.04.2022 17:09,333,Packplatz 10,26.04.2022 20:51,227,Hochregallager,Packplatz,2022-04-26 17:22:00,???,True,Packplatz
1246_578_84,Ware vereinnahmen,1246,84,26.04.2022 19:07,26.04.2022 21:09,26.04.2022 19:37,578,Packplatz 06,26.04.2022 19:01,276,Wareneingang,Hochregallager,??? ,2022-04-26 05:25:00,True,Wareneingang
1246_578_84,Waren lagern,1246,84,26.04.2022 19:07,26.04.2022 21:09,26.04.2022 19:37,578,Packplatz 06,26.04.2022 19:01,276,Hochregallager,Hochregallager,2022-04-26 06:14:00,2022-04-26 09:48:00,True,Hochregallager
1246_578_84,Waren kommissionieren,1246,84,26.04.2022 19:07,26.04.2022 21:09,26.04.2022 19:37,578,Packplatz 06,26.04.2022 19:01,276,Hochregallager,Packplatz,2022-04-26 11:51:00,???,True,Packplatz
1259_505_17,Ware vereinnahmen,1259,17,26.04.2022 17:18,26.04.2022 17:56,26.04.2022 17:48,505,Packplatz 08,26.04.2022 16:33,72,Wareneingang,Hochregallager,??? ,2022-04-26 02:28:00,True,Wareneingang
1259_505_17,Waren lagern,1259,17,26.04.2022 17:18,26.04.2022 17:56,26.04.2022 17:48,505,Packplatz 08,26.04.2022 16:33,72,Hochregallager,Hochregallager,2022-04-26 06:05:00,2022-04-26 07:25:00,True,Hochregallager
1259_505_17,Waren kommissionieren,1259,17,26.04.2022 17:18,26.04.2022 17:56,26.04.2022 17:48,505,Packplatz 08,26.04.2022 16:33,72,Hochregallager,Packplatz,2022-04-26 11:11:00,???,True,Packplatz
1267_965_42,Ware vereinnahmen,1267,42,26.04.2022 20:54,26.04.2022 22:52,26.04.2022 21:24,965,Packplatz 09,26.04.2022 19:48,483,Wareneingang,Hochregallager,??? ,2022-04-26 12:28:00,True,Wareneingang
1267_965_42,Waren lagern,1267,42,26.04.2022 20:54,26.04.2022 22:52,26.04.2022 21:24,965,Packplatz 09,26.04.2022 19:48,483,Hochregallager,Hochregallager,2022-04-26 16:12:00,2022-04-26 12:58:00,True,Hochregallager
1267_965_42,Waren kommissionieren,1267,42,26.04.2022 20:54,26.04.2022 22:52,26.04.2022 21:24,965,Packplatz 09,26.04.2022 19:48,483,Hochregallager,Packplatz,2022-04-26 16:28:00,???,True,Packplatz
1276_663_34,Ware vereinnahmen,1276,34,26.04.2022 16:24,26.04.2022 18:22,26.04.2022 16:54,663,Packplatz 06,26.04.2022 14:29,150,Wareneingang,Hochregallager,??? ,2022-04-26 11:05:00,True,Wareneingang
1276_663_34,Waren lagern,1276,34,26.04.2022 16:24,26.04.2022 18:22,26.04.2022 16:54,663,Packplatz 06,26.04.2022 14:29,150,Hochregallager,Hochregallager,2022-04-26 13:15:00,2022-04-26 11:54:00,True,Hochregallager
1276_663_34,Waren kommissionieren,1276,34,26.04.2022 16:24,26.04.2022 18:22,26.04.2022 16:54,663,Packplatz 06,26.04.2022 14:29,150,Hochregallager,Packplatz,2022-04-26 12:14:00,???,True,Packplatz
1278_972_18,Ware vereinnahmen,1278,18,26.04.2022 16:15,26.04.2022 19:09,26.04.2022 16:45,972,Packplatz 07,26.04.2022 12:19,170,Wareneingang,Hochregallager,??? ,2022-04-25 22:11:00,True,Wareneingang
1278_972_18,Waren lagern,1278,18,26.04.2022 16:15,26.04.2022 19:09,26.04.2022 16:45,972,Packplatz 07,26.04.2022 12:19,170,Hochregallager,Hochregallager,2022-04-25 22:34:00,2022-04-26 09:57:00,True,Hochregallager
1278_972_18,Waren kommissionieren,1278,18,26.04.2022 16:15,26.04.2022 19:09,26.04.2022 16:45,972,Packplatz 07,26.04.2022 12:19,170,Hochregallager,Packplatz,2022-04-26 12:56:00,???,True,Packplatz
1290_271_40,Ware vereinnahmen,1290,40,26.04.2022 16:13,26.04.2022 18:30,26.04.2022 16:43,271,Packplatz 04,26.04.2022 13:33,264,Wareneingang,Hochregallager,??? ,2022-04-26 12:24:00,True,Wareneingang
1290_271_40,Waren lagern,1290,40,26.04.2022 16:13,26.04.2022 18:30,26.04.2022 16:43,271,Packplatz 04,26.04.2022 13:33,264,Hochregallager,Hochregallager,2022-04-26 14:26:00,2022-04-26 06:03:00,True,Hochregallager
1290_271_40,Waren kommissionieren,1290,40,26.04.2022 16:13,26.04.2022 18:30,26.04.2022 16:43,271,Packplatz 04,26.04.2022 13:33,264,Hochregallager,Packplatz,2022-04-26 10:03:00,???,True,Packplatz
1302_663_43,Ware vereinnahmen,1302,43,26.04.2022 18:58,26.04.2022 21:55,26.04.2022 19:28,663,Packplatz 02,26.04.2022 17:14,254,Wareneingang,Hochregallager,??? ,2022-04-26 11:05:00,True,Wareneingang
1302_663_43,Waren lagern,1302,43,26.04.2022 18:58,26.04.2022 21:55,26.04.2022 19:28,663,Packplatz 02,26.04.2022 17:14,254,Hochregallager,Hochregallager,2022-04-26 13:15:00,2022-04-26 11:54:00,True,Hochregallager
1302_663_43,Waren kommissionieren,1302,43,26.04.2022 18:58,26.04.2022 21:55,26.04.2022 19:28,663,Packplatz 02,26.04.2022 17:14,254,Hochregallager,Packplatz,2022-04-26 12:14:00,???,True,Packplatz
1303_955_48,Ware vereinnahmen,1303,48,26.04.2022 16:41,26.04.2022 19:30,26.04.2022 17:11,955,Packplatz 09,26.04.2022 15:50,467,Wareneingang,Hochregallager,??? ,2022-04-25 14:35:00,True,Wareneingang
1303_955_48,Waren lagern,1303,48,26.04.2022 16:41,26.04.2022 19:30,26.04.2022 17:11,955,Packplatz 09,26.04.2022 15:50,467,Hochregallager,Hochregallager,2022-04-25 15:54:00,2022-04-26 13:23:00,True,Hochregallager
1303_955_48,Waren kommissionieren,1303,48,26.04.2022 16:41,26.04.2022 19:30,26.04.2022 17:11,955,Packplatz 09,26.04.2022 15:50,467,Hochregallager,Packplatz,2022-04-26 15:16:00,???,True,Packplatz
1303_955_50,Ware vereinnahmen,1303,50,26.04.2022 17:25,26.04.2022 20:22,26.04.2022 17:55,955,Packplatz 09,26.04.2022 15:50,467,Wareneingang,Hochregallager,??? ,2022-04-25 14:35:00,True,Wareneingang
1303_955_50,Waren lagern,1303,50,26.04.2022 17:25,26.04.2022 20:22,26.04.2022 17:55,955,Packplatz 09,26.04.2022 15:50,467,Hochregallager,Hochregallager,2022-04-25 15:54:00,2022-04-26 13:23:00,True,Hochregallager
1303_955_50,Waren kommissionieren,1303,50,26.04.2022 17:25,26.04.2022 20:22,26.04.2022 17:55,955,Packplatz 09,26.04.2022 15:50,467,Hochregallager,Packplatz,2022-04-26 15:16:00,???,True,Packplatz
1303_238_48,Ware vereinnahmen,1303,48,26.04.2022 16:41,26.04.2022 19:30,26.04.2022 17:11,238,Packplatz 08,26.04.2022 16:14,451,Wareneingang,Hochregallager,??? ,2022-04-25 22:27:00,True,Wareneingang
