Lagereinheit_ID,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt
804,Wareneingang,Hochregallager,2022-04-26 03:55:00,2022-04-26 06:00:00
627,Hochregallager,Packplatz,2022-04-26 10:56:00,2022-04-26 14:41:00
627,Wareneingang,Hochregallager,2022-04-26 01:40:00,2022-04-26 03:12:00
599,Hochregallager,Packplatz,2022-04-26 11:26:00,2022-04-26 12:29:00
599,Wareneingang,Hochregallager,2022-04-26 02:27:00,2022-04-26 05:10:00
595,Hochregallager,Packplatz,2022-04-26 14:00:00,2022-04-26 15:17:00
595,Wareneingang,Hochregallager,2022-04-26 09:51:00,2022-04-26 10:44:00
342,Hochregallager,Packplatz,2022-04-26 14:34:00,2022-04-26 15:19:00
342,Wareneingang,Hochregallager,2022-04-26 11:31:00,2022-04-26 14:48:00
869,Hochregallager,Packplatz,2022-04-26 17:01:00,2022-04-26 17:46:00
869,Wareneingang,Hochregallager,2022-04-26 01:02:00,2022-04-26 02:36:00
414,Hochregallager,Packplatz,2022-04-26 16:26:00,2022-04-26 18:31:00
414,Wareneingang,Hochregallager,2022-04-26 07:56:00,2022-04-26 10:03:00
201,Hochregallager,Packplatz,2022-04-26 11:45:00,2022-04-26 13:14:00
201,Wareneingang,Hochregallager,2022-04-25 23:39:00,2022-04-26 01:33:00
318,Hochregallager,Packplatz,2022-04-26 14:00:00,2022-04-26 15:36:00
318,Wareneingang,Hochregallager,2022-04-26 07:56:00,2022-04-26 08:53:00
577,Hochregallager,Packplatz,2022-04-26 14:10:00,2022-04-26 17:55:00
577,Wareneingang,Hochregallager,2022-04-26 01:30:00,2022-04-26 03:45:00
506,Hochregallager,Packplatz,2022-04-26 17:18:00,2022-04-26 18:14:00
506,Wareneingang,Hochregallager,2022-04-25 22:04:00,2022-04-26 00:53:00
849,Hochregallager,Packplatz,2022-04-26 12:28:00,2022-04-26 15:10:00
849,Wareneingang,Hochregallager,2022-04-26 09:23:00,2022-04-26 09:55:00
714,Hochregallager,Packplatz,2022-04-26 10:25:00,2022-04-26 14:14:00
714,Wareneingang,Hochregallager,2022-04-25 21:11:00,2022-04-25 22:05:00
966,Hochregallager,Packplatz,2022-04-26 11:46:00,2022-04-26 12:09:00
966,Wareneingang,Hochregallager,2022-04-26 05:47:00,2022-04-26 08:23:00
393,Hochregallager,Packplatz,2022-04-26 11:44:00,2022-04-26 14:51:00
393,Wareneingang,Hochregallager,2022-04-25 22:28:00,2022-04-26 01:58:00
111,Hochregallager,Packplatz,2022-04-26 07:25:00,2022-04-26 10:59:00
111,Wareneingang,Hochregallager,2022-04-26 09:44:00,2022-04-26 12:42:00
774,Hochregallager,Packplatz,2022-04-26 13:25:00,2022-04-26 16:30:00
774,Wareneingang,Hochregallager,2022-04-26 05:51:00,2022-04-26 08:46:00
126,Hochregallager,Packplatz,2022-04-26 12:26:00,2022-04-26 12:40:00
126,Wareneingang,Hochregallager,2022-04-26 12:12:00,2022-04-26 15:25:00
381,Hochregallager,Packplatz,2022-04-26 13:15:00,2022-04-26 13:52:00
381,Wareneingang,Hochregallager,2022-04-25 10:38:00,2022-04-25 11:47:00
626,Hochregallager,Packplatz,2022-04-26 10:54:00,2022-04-26 14:39:00
626,Wareneingang,Hochregallager,2022-04-26 13:24:00,2022-04-26 13:58:00
798,Hochregallager,Packplatz,2022-04-26 10:42:00,2022-04-26 12:41:00
798,Wareneingang,Hochregallager,2022-04-26 06:46:00,2022-04-26 07:55:00
824,Hochregallager,Packplatz,2022-04-26 11:13:00,2022-04-26 12:54:00
824,Wareneingang,Hochregallager,2022-04-26 13:40:00,2022-04-26 16:04:00
631,Hochregallager,Packplatz,2022-04-26 16:11:00,2022-04-26 18:41:00
631,Wareneingang,Hochregallager,2022-04-25 22:55:00,2022-04-26 00:06:00
411,Hochregallager,Packplatz,2022-04-26 09:39:00,2022-04-26 12:08:00
411,Wareneingang,Hochregallager,2022-04-26 13:50:00,2022-04-26 15:50:00
837,Hochregallager,Packplatz,2022-04-26 08:31:00,2022-04-26 12:29:00
837,Wareneingang,Hochregallager,2022-04-26 05:22:00,2022-04-26 06:08:00
322,Hochregallager,Packplatz,2022-04-26 07:43:00,2022-04-26 09:51:00
322,Wareneingang,Hochregallager,2022-04-26 08:44:00,2022-04-26 11:11:00
153,Hochregallager,Packplatz,2022-04-26 11:38:00,2022-04-26 15:00:00
153,Wareneingang,Hochregallager,2022-04-25 18:46:00,2022-04-25 22:32:00
185,Hochregallager,Packplatz,2022-04-26 13:04:00,2022-04-26 16:47:00
185,Wareneingang,Hochregallager,2022-04-26 07:07:00,2022-04-26 10:54:00
755,Hochregallager,Packplatz,2022-04-26 17:00:00,2022-04-26 20:17:00
755,Wareneingang,Hochregallager,2022-04-26 05:45:00,2022-04-26 06:26:00
187,Hochregallager,Packplatz,2022-04-26 15:27:00,2022-04-26 15:42:00
187,Wareneingang,Hochregallager,2022-04-25 21:41:00,2022-04-25 23:39:00
445,Hochregallager,Packplatz,2022-04-26 11:17:00,2022-04-26 11:35:00
445,Wareneingang,Hochregallager,2022-04-26 08:50:00,2022-04-26 12:27:00
121,Hochregallager,Packplatz,2022-04-26 14:17:00,2022-04-26 15:06:00
121,Wareneingang,Hochregallager,2022-04-26 04:02:00,2022-04-26 04:39:00
176,Hochregallager,Packplatz,2022-04-26 12:32:00,2022-04-26 15:09:00
176,Wareneingang,Hochregallager,2022-04-26 13:12:00,2022-04-26 16:01:00
998,Hochregallager,Packplatz,2022-04-26 11:12:00,2022-04-26 14:37:00
998,Wareneingang,Hochregallager,2022-04-25 16:50:00,2022-04-25 19:52:00
973,Hochregallager,Packplatz,2022-04-26 12:32:00,2022-04-26 16:06:00
973,Wareneingang,Hochregallager,2022-04-26 08:46:00,2022-04-26 11:06:00
505,Hochregallager,Packplatz,2022-04-26 07:25:00,2022-04-26 11:11:00
505,Wareneingang,Hochregallager,2022-04-26 02:28:00,2022-04-26 06:05:00
847,Hochregallager,Packplatz,2022-04-26 14:29:00,2022-04-26 15:54:00
847,Wareneingang,Hochregallager,2022-04-26 07:20:00,2022-04-26 09:28:00
721,Hochregallager,Packplatz,2022-04-26 10:24:00,2022-04-26 12:13:00
721,Wareneingang,Hochregallager,2022-04-25 19:23:00,2022-04-25 20:25:00
879,Hochregallager,Packplatz,2022-04-26 12:40:00,2022-04-26 15:33:00
879,Wareneingang,Hochregallager,2022-04-26 10:01:00,2022-04-26 10:16:00
440,Hochregallager,Packplatz,2022-04-26 13:26:00,2022-04-26 16:17:00
440,Wareneingang,Hochregallager,2022-04-25 23:10:00,2022-04-26 02:52:00
843,Hochregallager,Packplatz,2022-04-26 15:31:00,2022-04-26 17:40:00
843,Wareneingang,Hochregallager,2022-04-26 07:15:00,2022-04-26 07:47:00
402,Hochregallager,Packplatz,2022-04-26 15:19:00,2022-04-26 16:39:00
402,Wareneingang,Hochregallager,2022-04-25 17:11:00,2022-04-25 19:46:00
690,Hochregallager,Packplatz,2022-04-26 12:01:00,2022-04-26 12:13:00
690,Wareneingang,Hochregallager,2022-04-26 01:19:00,2022-04-26 05:11:00
637,Hochregallager,Packplatz,2022-04-26 07:55:00,2022-04-26 11:13:00
637,Wareneingang,Hochregallager,2022-04-26 03:18:00,2022-04-26 05:55:00
362,Hochregallager,Packplatz,2022-04-26 13:44:00,2022-04-26 17:10:00
362,Wareneingang,Hochregallager,2022-04-26 08:57:00,2022-04-26 10:55:00
922,Hochregallager,Packplatz,2022-04-26 10:10:00,2022-04-26 13:08:00
922,Wareneingang,Hochregallager,2022-04-26 02:40:00,2022-04-26 03:55:00
957,Hochregallager,Packplatz,2022-04-26 13:15:00,2022-04-26 14:11:00
957,Wareneingang,Hochregallager,2022-04-26 07:41:00,2022-04-26 08:53:00
793,Hochregallager,Packplatz,2022-04-26 14:03:00,2022-04-26 16:30:00
793,Wareneingang,Hochregallager,2022-04-26 05:20:00,2022-04-26 08:51:00
622,Hochregallager,Packplatz,2022-04-26 15:39:00,2022-04-26 19:13:00
622,Wareneingang,Hochregallager,2022-04-26 08:48:00,2022-04-26 10:56:00
229,Hochregallager,Packplatz,2022-04-26 16:16:00,2022-04-26 19:29:00
229,Wareneingang,Hochregallager,2022-04-25 06:35:00,2022-04-25 09:56:00
870,Hochregallager,Packplatz,2022-04-26 12:21:00,2022-04-26 15:56:00
870,Wareneingang,Hochregallager,2022-04-26 06:07:00,2022-04-26 09:37:00
574,Hochregallager,Packplatz,2022-04-26 16:25:00,2022-04-26 19:05:00
574,Wareneingang,Hochregallager,2022-04-26 10:11:00,2022-04-26 11:43:00
265,Hochregallager,Packplatz,2022-04-26 12:53:00,2022-04-26 13:25:00
265,Wareneingang,Hochregallager,2022-04-26 05:43:00,2022-04-26 07:56:00
887,Hochregallager,Packplatz,2022-04-26 17:33:00,2022-04-26 18:17:00
887,Wareneingang,Hochregallager,2022-04-26 05:00:00,2022-04-26 05:30:00
926,Hochregallager,Packplatz,2022-04-26 12:39:00,2022-04-26 13:27:00
926,Wareneingang,Hochregallager,2022-04-26 06:14:00,2022-04-26 09:15:00
404,Hochregallager,Packplatz,2022-04-26 13:55:00,2022-04-26 16:13:00
404,Wareneingang,Hochregallager,2022-04-26 11:57:00,2022-04-26 12:59:00
770,Hochregallager,Packplatz,2022-04-26 15:47:00,2022-04-26 16:23:00
770,Wareneingang,Hochregallager,2022-04-26 09:39:00,2022-04-26 12:46:00
799,Hochregallager,Packplatz,2022-04-26 13:02:00,2022-04-26 13:34:00
799,Wareneingang,Hochregallager,2022-04-25 21:10:00,2022-04-25 21:40:00
894,Hochregallager,Packplatz,2022-04-26 13:16:00,2022-04-26 14:06:00
894,Wareneingang,Hochregallager,2022-04-26 08:19:00,2022-04-26 09:22:00
309,Hochregallager,Packplatz,2022-04-26 13:15:00,2022-04-26 16:39:00
309,Wareneingang,Hochregallager,2022-04-26 10:46:00,2022-04-26 12:56:00
196,Hochregallager,Packplatz,2022-04-26 16:41:00,2022-04-26 17:23:00
196,Wareneingang,Hochregallager,2022-04-26 02:16:00,2022-04-26 04:57:00
444,Hochregallager,Packplatz,2022-04-26 12:14:00,2022-04-26 15:39:00
444,Wareneingang,Hochregallager,2022-04-26 01:39:00,2022-04-26 03:01:00
761,Hochregallager,Packplatz,2022-04-26 16:36:00,2022-04-26 17:14:00
761,Wareneingang,Hochregallager,2022-04-26 01:55:00,2022-04-26 04:57:00
473,Hochregallager,Packplatz,2022-04-26 11:33:00,2022-04-26 11:48:00
473,Wareneingang,Hochregallager,2022-04-26 04:31:00,2022-04-26 07:56:00
517,Hochregallager,Packplatz,2022-04-26 16:37:00,2022-04-26 18:14:00
517,Wareneingang,Hochregallager,2022-04-26 07:28:00,2022-04-26 10:54:00
586,Hochregallager,Packplatz,2022-04-26 12:02:00,2022-04-26 14:30:00
586,Wareneingang,Hochregallager,2022-04-25 13:56:00,2022-04-25 15:06:00
401,Hochregallager,Packplatz,2022-04-26 10:23:00,2022-04-26 13:01:00
401,Wareneingang,Hochregallager,2022-04-26 06:32:00,2022-04-26 10:03:00
901,Hochregallager,Packplatz,2022-04-26 08:58:00,2022-04-26 12:58:00
901,Wareneingang,Hochregallager,2022-04-26 01:12:00,2022-04-26 04:58:00
897,Hochregallager,Packplatz,2022-04-26 12:57:00,2022-04-26 15:18:00
897,Wareneingang,Hochregallager,2022-04-26 11:39:00,2022-04-26 14:45:00
788,Hochregallager,Packplatz,2022-04-26 13:03:00,2022-04-26 14:07:00
788,Wareneingang,Hochregallager,2022-04-26 02:01:00,2022-04-26 05:33:00
378,Hochregallager,Packplatz,2022-04-26 12:37:00,2022-04-26 13:08:00
378,Wareneingang,Hochregallager,2022-04-26 08:11:00,2022-04-26 11:08:00
283,Hochregallager,Packplatz,2022-04-26 12:51:00,2022-04-26 13:17:00
283,Wareneingang,Hochregallager,2022-04-26 04:13:00,2022-04-26 07:21:00
288,Hochregallager,Packplatz,2022-04-26 13:13:00,2022-04-26 13:30:00
288,Wareneingang,Hochregallager,2022-04-26 12:09:00,2022-04-26 12:14:00
498,Hochregallager,Packplatz,2022-04-26 13:11:00,2022-04-26 14:16:00
498,Wareneingang,Hochregallager,2022-04-26 07:08:00,2022-04-26 09:35:00
981,Hochregallager,Packplatz,2022-04-26 10:23:00,2022-04-26 10:29:00
981,Wareneingang,Hochregallager,2022-04-26 05:19:00,2022-04-26 07:58:00
945,Hochregallager,Packplatz,2022-04-26 16:30:00,2022-04-26 17:25:00
945,Wareneingang,Hochregallager,2022-04-26 00:28:00,2022-04-26 02:44:00
513,Hochregallager,Packplatz,2022-04-26 15:18:00,2022-04-26 18:12:00
513,Wareneingang,Hochregallager,2022-04-26 06:45:00,2022-04-26 08:53:00
822,Hochregallager,Packplatz,2022-04-26 09:14:00,2022-04-26 12:34:00
822,Wareneingang,Hochregallager,2022-04-26 10:01:00,2022-04-26 11:05:00
623,Hochregallager,Packplatz,2022-04-26 14:35:00,2022-04-26 14:56:00
623,Wareneingang,Hochregallager,2022-04-26 08:29:00,2022-04-26 10:26:00
728,Hochregallager,Packplatz,2022-04-26 10:24:00,2022-04-26 11:24:00
728,Wareneingang,Hochregallager,2022-04-26 08:44:00,2022-04-26 10:42:00
208,Hochregallager,Packplatz,2022-04-26 14:55:00,2022-04-26 15:12:00
208,Wareneingang,Hochregallager,2022-04-26 05:19:00,2022-04-26 05:22:00
648,Hochregallager,Packplatz,2022-04-26 13:35:00,2022-04-26 16:49:00
648,Wareneingang,Hochregallager,2022-04-26 00:20:00,2022-04-26 00:31:00
361,Hochregallager,Packplatz,2022-04-26 17:23:00,2022-04-26 17:27:00
361,Wareneingang,Hochregallager,2022-04-26 09:27:00,2022-04-26 11:08:00
302,Hochregallager,Packplatz,2022-04-26 12:40:00,2022-04-26 14:47:00
302,Wareneingang,Hochregallager,2022-04-26 02:17:00,2022-04-26 04:41:00
128,Hochregallager,Packplatz,2022-04-26 11:29:00,2022-04-26 13:08:00
128,Wareneingang,Hochregallager,2022-04-26 05:13:00,2022-04-26 07:23:00
482,Hochregallager,Packplatz,2022-04-26 10:44:00,2022-04-26 14:10:00
482,Wareneingang,Hochregallager,2022-04-25 15:15:00,2022-04-25 17:04:00
605,Hochregallager,Packplatz,2022-04-26 08:30:00,2022-04-26 11:23:00
605,Wareneingang,Hochregallager,2022-04-26 10:21:00,2022-04-26 11:01:00
630,Hochregallager,Packplatz,2022-04-26 13:32:00,2022-04-26 15:13:00
630,Wareneingang,Hochregallager,2022-04-26 04:52:00,2022-04-26 08:03:00
641,Hochregallager,Packplatz,2022-04-26 09:41:00,2022-04-26 12:32:00
641,Wareneingang,Hochregallager,2022-04-26 12:49:00,2022-04-26 12:52:00
672,Hochregallager,Packplatz,2022-04-26 09:59:00,2022-04-26 12:10:00
672,Wareneingang,Hochregallager,2022-04-25 19:14:00,2022-04-25 20:50:00
166,Hochregallager,Packplatz,2022-04-26 12:39:00,2022-04-26 15:15:00
166,Wareneingang,Hochregallager,2022-04-26 03:53:00,2022-04-26 04:13:00
124,Hochregallager,Packplatz,2022-04-26 15:04:00,2022-04-26 15:25:00
124,Wareneingang,Hochregallager,2022-04-26 08:13:00,2022-04-26 11:52:00
198,Hochregallager,Packplatz,2022-04-26 11:29:00,2022-04-26 14:07:00
198,Wareneingang,Hochregallager,2022-04-25 16:14:00,2022-04-25 16:52:00
737,Hochregallager,Packplatz,2022-04-26 17:41:00,2022-04-26 17:49:00
737,Wareneingang,Hochregallager,2022-04-26 08:11:00,2022-04-26 11:13:00
805,Hochregallager,Packplatz,2022-04-26 09:14:00,2022-04-26 09:50:00
805,Wareneingang,Hochregallager,2022-04-25 22:14:00,2022-04-25 23:43:00
534,Hochregallager,Packplatz,2022-04-26 13:28:00,2022-04-26 15:23:00
534,Wareneingang,Hochregallager,2022-04-26 02:50:00,2022-04-26 04:19:00
633,Hochregallager,Packplatz,2022-04-26 08:10:00,2022-04-26 11:49:00
633,Wareneingang,Hochregallager,2022-04-25 22:32:00,2022-04-26 00:35:00
813,Hochregallager,Packplatz,2022-04-26 13:51:00,2022-04-26 14:25:00
813,Wareneingang,Hochregallager,2022-04-26 11:42:00,2022-04-26 13:38:00
688,Hochregallager,Packplatz,2022-04-26 11:09:00,2022-04-26 14:32:00
688,Wareneingang,Hochregallager,2022-04-26 01:23:00,2022-04-26 05:11:00
570,Hochregallager,Packplatz,2022-04-26 05:42:00,2022-04-26 08:44:00
570,Wareneingang,Hochregallager,2022-04-26 05:47:00,2022-04-26 09:44:00
538,Hochregallager,Packplatz,2022-04-26 10:19:00,2022-04-26 11:51:00
538,Wareneingang,Hochregallager,2022-04-25 23:06:00,2022-04-26 00:16:00
216,Hochregallager,Packplatz,2022-04-26 09:33:00,2022-04-26 12:36:00
216,Wareneingang,Hochregallager,2022-04-26 09:38:00,2022-04-26 11:27:00
301,Hochregallager,Packplatz,2022-04-26 15:00:00,2022-04-26 16:27:00
301,Wareneingang,Hochregallager,2022-04-26 05:02:00,2022-04-26 05:09:00
767,Hochregallager,Packplatz,2022-04-26 12:30:00,2022-04-26 14:42:00
767,Wareneingang,Hochregallager,2022-04-26 11:37:00,2022-04-26 13:14:00
758,Hochregallager,Packplatz,2022-04-26 11:18:00,2022-04-26 15:06:00
758,Wareneingang,Hochregallager,2022-04-26 00:45:00,2022-04-26 04:03:00
571,Hochregallager,Packplatz,2022-04-26 11:41:00,2022-04-26 14:51:00
571,Wareneingang,Hochregallager,2022-04-26 04:52:00,2022-04-26 06:06:00
476,Hochregallager,Packplatz,2022-04-26 14:16:00,2022-04-26 15:34:00
476,Wareneingang,Hochregallager,2022-04-26 10:44:00,2022-04-26 13:47:00
938,Hochregallager,Packplatz,2022-04-26 11:24:00,2022-04-26 12:14:00
938,Wareneingang,Hochregallager,2022-04-25 05:14:00,2022-04-25 06:20:00
825,Hochregallager,Packplatz,2022-04-26 11:21:00,2022-04-26 14:28:00
825,Wareneingang,Hochregallager,2022-04-26 06:44:00,2022-04-26 08:23:00
970,Hochregallager,Packplatz,2022-04-26 16:52:00,2022-04-26 19:44:00
970,Wareneingang,Hochregallager,2022-04-26 00:54:00,2022-04-26 04:40:00
439,Hochregallager,Packplatz,2022-04-26 12:19:00,2022-04-26 14:04:00
439,Wareneingang,Hochregallager,2022-04-26 04:27:00,2022-04-26 06:14:00
587,Hochregallager,Packplatz,2022-04-26 11:33:00,2022-04-26 13:22:00
587,Wareneingang,Hochregallager,2022-04-26 09:30:00,2022-04-26 11:35:00
483,Hochregallager,Packplatz,2022-04-26 12:34:00,2022-04-26 14:54:00
483,Wareneingang,Hochregallager,2022-04-26 04:58:00,2022-04-26 05:30:00
369,Hochregallager,Packplatz,2022-04-26 11:45:00,2022-04-26 13:53:00
369,Wareneingang,Hochregallager,2022-04-26 13:30:00,2022-04-26 14:48:00
700,Hochregallager,Packplatz,2022-04-26 11:34:00,2022-04-26 13:18:00
700,Wareneingang,Hochregallager,2022-04-26 03:21:00,2022-04-26 04:09:00
457,Hochregallager,Packplatz,2022-04-26 10:43:00,2022-04-26 13:44:00
457,Wareneingang,Hochregallager,2022-04-26 00:32:00,2022-04-26 03:22:00
308,Hochregallager,Packplatz,2022-04-26 14:57:00,2022-04-26 18:10:00
308,Wareneingang,Hochregallager,2022-04-26 09:42:00,2022-04-26 12:49:00
294,Hochregallager,Packplatz,2022-04-26 06:03:00,2022-04-26 07:53:00
294,Wareneingang,Hochregallager,2022-04-26 09:44:00,2022-04-26 10:54:00
464,Hochregallager,Packplatz,2022-04-26 12:09:00,2022-04-26 14:21:00
464,Wareneingang,Hochregallager,2022-04-26 09:08:00,2022-04-26 11:55:00
317,Hochregallager,Packplatz,2022-04-26 09:15:00,2022-04-26 12:46:00
317,Wareneingang,Hochregallager,2022-04-26 04:01:00,2022-04-26 07:11:00
297,Hochregallager,Packplatz,2022-04-26 12:20:00,2022-04-26 15:30:00
297,Wareneingang,Hochregallager,2022-04-26 11:04:00,2022-04-26 11:08:00
193,Hochregallager,Packplatz,2022-04-26 14:49:00,2022-04-26 16:28:00
193,Wareneingang,Hochregallager,2022-04-25 13:52:00,2022-04-25 17:27:00
104,Hochregallager,Packplatz,2022-04-26 12:44:00,2022-04-26 13:57:00
104,Wareneingang,Hochregallager,2022-04-26 03:30:00,2022-04-26 04:53:00
487,Hochregallager,Packplatz,2022-04-26 20:18:00,2022-04-26 20:52:00
487,Wareneingang,Hochregallager,2022-04-26 09:43:00,2022-04-26 11:25:00
912,Hochregallager,Packplatz,2022-04-26 11:37:00,2022-04-26 14:14:00
912,Wareneingang,Hochregallager,2022-04-26 04:28:00,2022-04-26 07:30:00
706,Hochregallager,Packplatz,2022-04-26 10:15:00,2022-04-26 12:44:00
706,Wareneingang,Hochregallager,2022-04-26 13:21:00,2022-04-26 15:57:00
458,Hochregallager,Packplatz,2022-04-26 11:18:00,2022-04-26 12:47:00
458,Wareneingang,Hochregallager,2022-04-25 22:41:00,2022-04-26 01:48:00
448,Hochregallager,Packplatz,2022-04-26 11:04:00,2022-04-26 13:05:00
448,Wareneingang,Hochregallager,2022-04-26 09:08:00,2022-04-26 09:50:00
965,Hochregallager,Packplatz,2022-04-26 12:58:00,2022-04-26 16:28:00
965,Wareneingang,Hochregallager,2022-04-26 12:28:00,2022-04-26 16:12:00
701,Hochregallager,Packplatz,2022-04-26 18:27:00,2022-04-26 20:54:00
701,Wareneingang,Hochregallager,2022-04-25 18:59:00,2022-04-25 22:32:00
860,Hochregallager,Packplatz,2022-04-26 12:25:00,2022-04-26 12:36:00
860,Wareneingang,Hochregallager,2022-04-26 07:06:00,2022-04-26 10:04:00
698,Hochregallager,Packplatz,2022-04-26 11:53:00,2022-04-26 14:21:00
698,Wareneingang,Hochregallager,2022-04-25 21:11:00,2022-04-26 01:06:00
800,Hochregallager,Packplatz,2022-04-26 10:16:00,2022-04-26 12:36:00
800,Wareneingang,Hochregallager,2022-04-26 13:52:00,2022-04-26 14:58:00
593,Hochregallager,Packplatz,2022-04-26 14:11:00,2022-04-26 15:44:00
593,Wareneingang,Hochregallager,2022-04-26 00:19:00,2022-04-26 03:51:00
610,Hochregallager,Packplatz,2022-04-26 11:50:00,2022-04-26 14:05:00
610,Wareneingang,Hochregallager,2022-04-26 07:03:00,2022-04-26 08:52:00
565,Hochregallager,Packplatz,2022-04-26 11:31:00,2022-04-26 12:23:00
565,Wareneingang,Hochregallager,2022-04-26 04:53:00,2022-04-26 07:10:00
276,Hochregallager,Packplatz,2022-04-26 13:32:00,2022-04-26 16:47:00
276,Wareneingang,Hochregallager,2022-04-26 04:12:00,2022-04-26 04:57:00
656,Hochregallager,Packplatz,2022-04-26 10:17:00,2022-04-26 11:07:00
656,Wareneingang,Hochregallager,2022-04-26 05:33:00,2022-04-26 05:54:00
480,Hochregallager,Packplatz,2022-04-26 16:23:00,2022-04-26 17:49:00
480,Wareneingang,Hochregallager,2022-04-25 23:04:00,2022-04-26 00:02:00
303,Hochregallager,Packplatz,2022-04-26 16:44:00,2022-04-26 17:04:00
303,Wareneingang,Hochregallager,2022-04-26 08:06:00,2022-04-26 09:12:00
644,Hochregallager,Packplatz,2022-04-26 15:08:00,2022-04-26 18:39:00
644,Wareneingang,Hochregallager,2022-04-26 05:59:00,2022-04-26 08:41:00
707,Hochregallager,Packplatz,2022-04-26 12:28:00,2022-04-26 16:19:00
707,Wareneingang,Hochregallager,2022-04-26 05:54:00,2022-04-26 09:47:00
782,Hochregallager,Packplatz,2022-04-26 07:25:00,2022-04-26 09:26:00
782,Wareneingang,Hochregallager,2022-04-25 23:52:00,2022-04-26 01:15:00
533,Hochregallager,Packplatz,2022-04-26 07:18:00,2022-04-26 08:40:00
533,Wareneingang,Hochregallager,2022-04-26 08:37:00,2022-04-26 08:45:00
640,Hochregallager,Packplatz,2022-04-26 11:27:00,2022-04-26 11:46:00
640,Wareneingang,Hochregallager,2022-04-26 05:19:00,2022-04-26 07:05:00
719,Hochregallager,Packplatz,2022-04-26 07:52:00,2022-04-26 10:48:00
719,Wareneingang,Hochregallager,2022-04-26 08:52:00,2022-04-26 11:41:00
952,Hochregallager,Packplatz,2022-04-26 15:33:00,2022-04-26 18:17:00
952,Wareneingang,Hochregallager,2022-04-26 10:45:00,2022-04-26 13:08:00
224,Hochregallager,Packplatz,2022-04-26 09:20:00,2022-04-26 11:23:00
224,Wareneingang,Hochregallager,2022-04-26 08:45:00,2022-04-26 09:30:00
376,Hochregallager,Packplatz,2022-04-26 12:19:00,2022-04-26 13:43:00
376,Wareneingang,Hochregallager,2022-04-26 04:02:00,2022-04-26 07:45:00
747,Hochregallager,Packplatz,2022-04-26 16:20:00,2022-04-26 16:45:00
747,Wareneingang,Hochregallager,2022-04-25 15:33:00,2022-04-25 16:38:00
399,Hochregallager,Packplatz,2022-04-26 11:19:00,2022-04-26 13:58:00
399,Wareneingang,Hochregallager,2022-04-26 08:40:00,2022-04-26 12:40:00
749,Hochregallager,Packplatz,2022-04-26 13:06:00,2022-04-26 13:46:00
749,Wareneingang,Hochregallager,2022-04-26 02:26:00,2022-04-26 04:36:00
531,Hochregallager,Packplatz,2022-04-26 07:43:00,2022-04-26 10:48:00
531,Wareneingang,Hochregallager,2022-04-26 07:10:00,2022-04-26 07:14:00
723,Hochregallager,Packplatz,2022-04-26 12:21:00,2022-04-26 15:30:00
723,Wareneingang,Hochregallager,2022-04-26 06:18:00,2022-04-26 09:15:00
356,Hochregallager,Packplatz,2022-04-26 12:59:00,2022-04-26 13:12:00
356,Wareneingang,Hochregallager,2022-04-26 04:32:00,2022-04-26 08:09:00
162,Hochregallager,Packplatz,2022-04-26 11:12:00,2022-04-26 13:44:00
162,Wareneingang,Hochregallager,2022-04-26 12:07:00,2022-04-26 14:51:00
541,Hochregallager,Packplatz,2022-04-26 12:48:00,2022-04-26 14:12:00
