Auftragsnummer,Versand_ID,Verladestart,Verladeende,Versand_SOLL
5178,42,26.04.2022 18:05,26.04.2022 20:50,26.04.2022 18:35
9949,28,26.04.2022 19:28,26.04.2022 21:45,26.04.2022 19:58
3862,90,26.04.2022 19:29,26.04.2022 20:04,26.04.2022 19:59
6860,22,26.04.2022 17:27,26.04.2022 19:31,26.04.2022 17:57
6215,94,26.04.2022 20:57,26.04.2022 23:16,26.04.2022 21:27
4819,62,26.04.2022 22:51,27.04.2022 01:00,26.04.2022 23:21
4146,88,26.04.2022 18:09,26.04.2022 20:15,26.04.2022 18:39
4249,35,26.04.2022 19:22,26.04.2022 21:41,26.04.2022 19:52
4818,99,26.04.2022 16:57,26.04.2022 17:26,26.04.2022 17:27
8878,85,26.04.2022 21:03,26.04.2022 21:20,26.04.2022 21:33
8660,21,26.04.2022 17:14,26.04.2022 20:16,26.04.2022 17:44
6314,31,26.04.2022 18:54,26.04.2022 21:06,26.04.2022 19:24
5099,67,26.04.2022 21:35,27.04.2022 01:20,26.04.2022 22:05
3265,45,26.04.2022 20:23,26.04.2022 22:46,26.04.2022 20:53
7568,19,26.04.2022 22:20,27.04.2022 02:20,26.04.2022 22:50
2483,40,26.04.2022 18:07,26.04.2022 22:03,26.04.2022 18:37
8128,47,26.04.2022 21:15,26.04.2022 21:58,26.04.2022 21:45
5806,41,26.04.2022 18:09,26.04.2022 18:45,26.04.2022 18:39
8218,69,26.04.2022 19:23,26.04.2022 21:51,26.04.2022 19:53
7138,35,26.04.2022 14:11,26.04.2022 15:28,26.04.2022 14:41
1034,51,26.04.2022 21:56,26.04.2022 23:24,26.04.2022 22:26
7710,51,26.04.2022 20:27,27.04.2022 00:25,26.04.2022 20:57
5320,89,26.04.2022 18:55,26.04.2022 19:00,26.04.2022 19:25
2575,90,26.04.2022 18:17,26.04.2022 20:18,26.04.2022 18:47
3318,81,26.04.2022 18:38,26.04.2022 19:05,26.04.2022 19:08
5612,89,26.04.2022 20:06,26.04.2022 21:30,26.04.2022 20:36
7613,54,26.04.2022 18:09,26.04.2022 21:29,26.04.2022 18:39
9880,26,26.04.2022 20:01,27.04.2022 00:01,26.04.2022 20:31
3194,71,26.04.2022 17:33,26.04.2022 18:35,26.04.2022 18:03
1492,30,26.04.2022 21:41,26.04.2022 23:28,26.04.2022 22:11
6342,66,26.04.2022 17:55,26.04.2022 21:32,26.04.2022 18:25
3614,33,26.04.2022 19:03,26.04.2022 21:45,26.04.2022 19:33
1772,51,26.04.2022 17:00,26.04.2022 20:02,26.04.2022 17:30
8814,69,26.04.2022 19:51,26.04.2022 20:18,26.04.2022 20:21
8978,32,26.04.2022 20:54,26.04.2022 22:24,26.04.2022 21:24
8232,63,26.04.2022 19:54,26.04.2022 22:56,26.04.2022 20:24
5932,85,26.04.2022 17:51,26.04.2022 18:34,26.04.2022 18:21
7182,58,26.04.2022 19:57,26.04.2022 20:12,26.04.2022 20:27
6924,34,26.04.2022 19:49,26.04.2022 22:57,26.04.2022 20:19
6406,82,26.04.2022 19:25,26.04.2022 21:35,26.04.2022 19:55
1201,11,26.04.2022 15:05,26.04.2022 18:21,26.04.2022 15:35
3792,73,26.04.2022 14:25,26.04.2022 17:27,26.04.2022 14:55
2441,81,26.04.2022 19:02,26.04.2022 22:49,26.04.2022 19:32
5341,34,26.04.2022 18:17,26.04.2022 21:23,26.04.2022 18:47
2036,61,26.04.2022 19:01,26.04.2022 22:34,26.04.2022 19:31
9557,86,26.04.2022 19:41,26.04.2022 20:58,26.04.2022 20:11
4944,67,26.04.2022 18:14,26.04.2022 19:19,26.04.2022 18:44
7801,19,26.04.2022 17:05,26.04.2022 19:39,26.04.2022 17:35
4081,67,26.04.2022 18:13,26.04.2022 21:28,26.04.2022 18:43
2144,11,26.04.2022 19:58,26.04.2022 20:10,26.04.2022 20:28
6456,25,26.04.2022 21:32,27.04.2022 00:04,26.04.2022 22:02
6730,48,26.04.2022 19:47,26.04.2022 20:03,26.04.2022 20:17
4762,95,26.04.2022 19:45,26.04.2022 21:52,26.04.2022 20:15
4963,77,26.04.2022 19:50,26.04.2022 20:10,26.04.2022 20:20
1660,91,26.04.2022 17:00,26.04.2022 17:18,26.04.2022 17:30
4624,83,26.04.2022 15:29,26.04.2022 18:22,26.04.2022 15:59
9707,10,26.04.2022 20:45,26.04.2022 21:14,26.04.2022 21:15
8527,21,26.04.2022 17:39,26.04.2022 19:42,26.04.2022 18:09
3961,23,26.04.2022 16:16,26.04.2022 18:45,26.04.2022 16:46
5885,55,26.04.2022 17:01,26.04.2022 20:00,26.04.2022 17:31
4876,67,26.04.2022 19:18,26.04.2022 19:22,26.04.2022 19:48
3332,92,26.04.2022 22:00,26.04.2022 23:17,26.04.2022 22:30
3442,46,26.04.2022 17:05,26.04.2022 19:42,26.04.2022 17:35
7800,96,26.04.2022 21:12,26.04.2022 23:00,26.04.2022 21:42
8690,20,26.04.2022 17:08,26.04.2022 19:53,26.04.2022 17:38
2671,68,26.04.2022 17:47,26.04.2022 20:56,26.04.2022 18:17
4174,49,26.04.2022 18:31,26.04.2022 21:29,26.04.2022 19:01
2346,63,26.04.2022 17:59,26.04.2022 18:53,26.04.2022 18:29
2484,79,26.04.2022 17:32,26.04.2022 21:10,26.04.2022 18:02
4792,39,26.04.2022 15:36,26.04.2022 17:14,26.04.2022 16:06
9055,87,26.04.2022 18:59,26.04.2022 22:55,26.04.2022 19:29
5329,43,26.04.2022 17:23,26.04.2022 20:21,26.04.2022 17:53
1316,76,26.04.2022 17:51,26.04.2022 20:03,26.04.2022 18:21
3188,25,26.04.2022 18:09,26.04.2022 21:30,26.04.2022 18:39
6104,54,26.04.2022 15:36,26.04.2022 17:42,26.04.2022 16:06
8680,28,26.04.2022 17:36,26.04.2022 18:44,26.04.2022 18:06
5194,95,26.04.2022 18:51,26.04.2022 19:17,26.04.2022 19:21
9734,32,26.04.2022 19:55,26.04.2022 20:38,26.04.2022 20:25
4847,98,26.04.2022 16:55,26.04.2022 17:41,26.04.2022 17:25
3814,78,26.04.2022 19:11,26.04.2022 21:54,26.04.2022 19:41
4423,33,26.04.2022 22:45,26.04.2022 23:51,26.04.2022 23:15
4502,63,26.04.2022 20:56,26.04.2022 22:54,26.04.2022 21:26
6673,51,26.04.2022 18:03,26.04.2022 21:05,26.04.2022 18:33
7556,95,26.04.2022 15:28,26.04.2022 18:28,26.04.2022 15:58
3734,41,26.04.2022 18:36,26.04.2022 18:55,26.04.2022 19:06
7260,93,26.04.2022 17:07,26.04.2022 17:12,26.04.2022 17:37
2358,65,26.04.2022 15:39,26.04.2022 16:33,26.04.2022 16:09
2532,10,26.04.2022 19:12,26.04.2022 22:20,26.04.2022 19:42
8966,23,26.04.2022 18:24,26.04.2022 22:01,26.04.2022 18:54
2474,68,26.04.2022 18:32,26.04.2022 19:37,26.04.2022 19:02
6046,67,26.04.2022 15:07,26.04.2022 17:35,26.04.2022 15:37
7232,85,26.04.2022 18:23,26.04.2022 19:13,26.04.2022 18:53
4309,99,26.04.2022 19:07,26.04.2022 19:42,26.04.2022 19:37
8191,37,26.04.2022 21:18,27.04.2022 01:11,26.04.2022 21:48
5389,52,26.04.2022 20:40,26.04.2022 23:50,26.04.2022 21:10
3404,48,26.04.2022 20:57,26.04.2022 21:59,26.04.2022 21:27
4510,16,26.04.2022 17:34,26.04.2022 19:21,26.04.2022 18:04
6736,21,26.04.2022 21:23,26.04.2022 21:36,26.04.2022 21:53
5933,21,26.04.2022 20:58,26.04.2022 23:50,26.04.2022 21:28
7479,58,26.04.2022 18:12,26.04.2022 21:08,26.04.2022 18:42
3038,33,26.04.2022 18:37,26.04.2022 19:10,26.04.2022 19:07
6062,93,26.04.2022 16:23,26.04.2022 20:21,26.04.2022 16:53
9086,77,26.04.2022 19:17,26.04.2022 19:37,26.04.2022 19:47
1267,42,26.04.2022 20:54,26.04.2022 22:52,26.04.2022 21:24
6985,76,26.04.2022 21:21,26.04.2022 23:14,26.04.2022 21:51
9769,80,26.04.2022 18:43,26.04.2022 19:17,26.04.2022 19:13
4321,55,26.04.2022 18:25,26.04.2022 19:48,26.04.2022 18:55
5785,48,26.04.2022 17:21,26.04.2022 20:37,26.04.2022 17:51
5252,48,26.04.2022 19:03,26.04.2022 19:09,26.04.2022 19:33
1784,20,26.04.2022 17:29,26.04.2022 18:11,26.04.2022 17:59
4128,11,26.04.2022 17:38,26.04.2022 19:11,26.04.2022 18:08
1446,37,26.04.2022 17:59,26.04.2022 21:39,26.04.2022 18:29
6409,56,26.04.2022 20:31,26.04.2022 22:52,26.04.2022 21:01
8418,80,26.04.2022 14:51,26.04.2022 16:23,26.04.2022 15:21
8116,30,26.04.2022 19:42,26.04.2022 23:22,26.04.2022 20:12
4396,65,26.04.2022 19:05,26.04.2022 21:42,26.04.2022 19:35
5304,81,26.04.2022 20:01,26.04.2022 20:03,26.04.2022 20:31
2102,53,26.04.2022 17:22,26.04.2022 17:33,26.04.2022 17:52
2922,82,26.04.2022 15:52,26.04.2022 17:19,26.04.2022 16:22
4633,20,26.04.2022 15:18,26.04.2022 18:31,26.04.2022 15:48
2418,43,26.04.2022 15:41,26.04.2022 17:57,26.04.2022 16:11
4771,42,26.04.2022 14:10,26.04.2022 18:08,26.04.2022 14:40
4110,39,26.04.2022 15:22,26.04.2022 17:11,26.04.2022 15:52
5371,83,26.04.2022 20:51,26.04.2022 23:57,26.04.2022 21:21
5790,43,26.04.2022 14:03,26.04.2022 16:49,26.04.2022 14:33
8551,28,26.04.2022 19:31,26.04.2022 21:15,26.04.2022 20:01
7106,57,26.04.2022 18:22,26.04.2022 22:15,26.04.2022 18:52
4525,43,26.04.2022 18:26,26.04.2022 18:29,26.04.2022 18:56
1738,96,26.04.2022 17:28,26.04.2022 18:57,26.04.2022 17:58
2515,59,26.04.2022 16:15,26.04.2022 16:45,26.04.2022 16:45
8026,96,26.04.2022 22:24,27.04.2022 01:59,26.04.2022 22:54
2228,52,26.04.2022 17:01,26.04.2022 20:44,26.04.2022 17:31
4540,12,26.04.2022 18:05,26.04.2022 18:57,26.04.2022 18:35
4852,83,26.04.2022 18:22,26.04.2022 19:14,26.04.2022 18:52
1929,42,26.04.2022 20:58,26.04.2022 23:30,26.04.2022 21:28
6820,86,26.04.2022 15:12,26.04.2022 17:07,26.04.2022 15:42
2000,81,26.04.2022 20:11,27.04.2022 00:08,26.04.2022 20:41
4849,43,26.04.2022 17:52,26.04.2022 19:35,26.04.2022 18:22
4171,46,26.04.2022 18:47,26.04.2022 20:52,26.04.2022 19:17
4868,82,26.04.2022 18:14,26.04.2022 19:48,26.04.2022 18:44
2478,98,26.04.2022 16:14,26.04.2022 18:35,26.04.2022 16:44
4232,85,26.04.2022 18:42,26.04.2022 20:38,26.04.2022 19:12
1796,44,26.04.2022 17:53,26.04.2022 20:13,26.04.2022 18:23
5840,71,26.04.2022 22:31,27.04.2022 00:58,26.04.2022 23:01
8504,48,26.04.2022 15:52,26.04.2022 18:51,26.04.2022 16:22
7658,72,26.04.2022 19:25,26.04.2022 22:35,26.04.2022 19:55
5044,30,26.04.2022 18:30,26.04.2022 21:51,26.04.2022 19:00
9078,96,26.04.2022 19:20,26.04.2022 20:18,26.04.2022 19:50
7711,28,26.04.2022 17:42,26.04.2022 19:31,26.04.2022 18:12
9568,37,26.04.2022 13:49,26.04.2022 16:00,26.04.2022 14:19
7594,45,26.04.2022 16:19,26.04.2022 18:49,26.04.2022 16:49
4453,32,26.04.2022 20:13,26.04.2022 22:50,26.04.2022 20:43
3466,72,26.04.2022 20:39,26.04.2022 21:25,26.04.2022 21:09
2809,46,26.04.2022 15:49,26.04.2022 18:50,26.04.2022 16:19
1646,32,26.04.2022 19:12,26.04.2022 21:37,26.04.2022 19:42
3629,87,26.04.2022 21:09,26.04.2022 23:11,26.04.2022 21:39
7753,23,26.04.2022 14:27,26.04.2022 16:35,26.04.2022 14:57
8200,86,26.04.2022 17:58,26.04.2022 20:30,26.04.2022 18:28
8944,89,26.04.2022 21:34,27.04.2022 00:51,26.04.2022 22:04
1226,88,26.04.2022 21:31,27.04.2022 01:01,26.04.2022 22:01
3981,34,26.04.2022 17:09,26.04.2022 21:03,26.04.2022 17:39
9718,25,26.04.2022 17:11,26.04.2022 18:34,26.04.2022 17:41
7254,98,26.04.2022 19:10,26.04.2022 20:15,26.04.2022 19:40
7146,64,26.04.2022 18:49,26.04.2022 21:44,26.04.2022 19:19
2503,46,26.04.2022 20:57,26.04.2022 22:32,26.04.2022 21:27
4465,74,26.04.2022 16:42,26.04.2022 20:26,26.04.2022 17:12
7824,97,26.04.2022 18:03,26.04.2022 18:59,26.04.2022 18:33
5668,40,26.04.2022 16:15,26.04.2022 19:09,26.04.2022 16:45
5414,70,26.04.2022 16:48,26.04.2022 20:14,26.04.2022 17:18
1792,55,26.04.2022 18:12,26.04.2022 18:46,26.04.2022 18:42
5608,61,26.04.2022 20:23,26.04.2022 21:36,26.04.2022 20:53
5650,39,26.04.2022 21:13,27.04.2022 00:24,26.04.2022 21:43
3304,51,26.04.2022 20:37,26.04.2022 22:29,26.04.2022 21:07
9161,46,26.04.2022 20:07,27.04.2022 00:07,26.04.2022 20:37
4922,40,26.04.2022 21:05,26.04.2022 21:44,26.04.2022 21:35
3838,74,26.04.2022 19:25,26.04.2022 23:11,26.04.2022 19:55
4373,36,26.04.2022 15:22,26.04.2022 16:57,26.04.2022 15:52
3204,59,26.04.2022 16:42,26.04.2022 19:37,26.04.2022 17:12
2074,19,26.04.2022 15:55,26.04.2022 19:44,26.04.2022 16:25
2326,16,26.04.2022 17:32,26.04.2022 20:35,26.04.2022 18:02
4627,35,26.04.2022 17:34,26.04.2022 17:48,26.04.2022 18:04
3204,39,26.04.2022 16:57,26.04.2022 18:11,26.04.2022 17:27
4108,49,26.04.2022 13:48,26.04.2022 13:52,26.04.2022 14:18
8382,27,26.04.2022 20:08,26.04.2022 23:59,26.04.2022 20:38
5490,20,26.04.2022 16:58,26.04.2022 17:45,26.04.2022 17:28
9728,66,26.04.2022 20:09,26.04.2022 23:21,26.04.2022 20:39
4672,10,26.04.2022 18:05,26.04.2022 20:57,26.04.2022 18:35
2101,77,26.04.2022 23:05,26.04.2022 23:45,26.04.2022 23:35
1226,37,26.04.2022 16:39,26.04.2022 20:17,26.04.2022 17:09
6974,54,26.04.2022 19:44,26.04.2022 22:46,26.04.2022 20:14
2401,36,26.04.2022 17:30,26.04.2022 20:16,26.04.2022 18:00
2943,41,26.04.2022 17:54,26.04.2022 21:24,26.04.2022 18:24
2211,90,26.04.2022 21:45,27.04.2022 01:19,26.04.2022 22:15
2110,27,26.04.2022 13:51,26.04.2022 16:19,26.04.2022 14:21
9019,88,26.04.2022 21:11,26.04.2022 22:05,26.04.2022 21:41
1748,25,26.04.2022 15:48,26.04.2022 17:31,26.04.2022 16:18
9330,53,26.04.2022 21:42,27.04.2022 00:43,26.04.2022 22:12
8389,58,26.04.2022 17:07,26.04.2022 19:39,26.04.2022 17:37
8054,42,26.04.2022 14:55,26.04.2022 16:40,26.04.2022 15:25
1921,57,26.04.2022 15:59,26.04.2022 17:40,26.04.2022 16:29
5887,75,26.04.2022 17:28,26.04.2022 18:36,26.04.2022 17:58
5928,82,26.04.2022 20:59,27.04.2022 00:15,26.04.2022 21:29
3637,98,26.04.2022 18:18,26.04.2022 21:51,26.04.2022 18:48
3117,19,26.04.2022 20:30,26.04.2022 23:33,26.04.2022 21:00
4210,16,26.04.2022 18:36,26.04.2022 18:57,26.04.2022 19:06
6335,74,26.04.2022 16:00,26.04.2022 16:35,26.04.2022 16:30
2132,93,26.04.2022 13:59,26.04.2022 17:27,26.04.2022 14:29
9171,64,26.04.2022 22:06,27.04.2022 00:47,26.04.2022 22:36
3436,57,26.04.2022 18:03,26.04.2022 18:52,26.04.2022 18:33
7372,75,26.04.2022 18:42,26.04.2022 21:49,26.04.2022 19:12
9556,48,26.04.2022 19:58,26.04.2022 23:20,26.04.2022 20:28
5510,63,26.04.2022 17:04,26.04.2022 17:06,26.04.2022 17:34
1202,75,26.04.2022 15:55,26.04.2022 17:19,26.04.2022 16:25
8287,19,26.04.2022 19:41,26.04.2022 20:47,26.04.2022 20:11
4312,33,26.04.2022 19:41,26.04.2022 23:15,26.04.2022 20:11
8614,39,26.04.2022 16:09,26.04.2022 18:12,26.04.2022 16:39
4222,11,26.04.2022 18:54,26.04.2022 20:15,26.04.2022 19:24
2914,74,26.04.2022 16:45,26.04.2022 18:55,26.04.2022 17:15
6030,27,26.04.2022 18:23,26.04.2022 20:53,26.04.2022 18:53
5984,83,26.04.2022 20:52,26.04.2022 23:30,26.04.2022 21:22
8422,85,26.04.2022 21:13,27.04.2022 00:28,26.04.2022 21:43
5364,67,26.04.2022 17:47,26.04.2022 21:16,26.04.2022 18:17
4309,32,26.04.2022 20:35,27.04.2022 00:18,26.04.2022 21:05
5266,29,26.04.2022 20:41,27.04.2022 00:06,26.04.2022 21:11
1998,45,26.04.2022 19:53,26.04.2022 21:38,26.04.2022 20:23
5644,11,26.04.2022 17:58,26.04.2022 21:04,26.04.2022 18:28
8724,99,26.04.2022 20:49,26.04.2022 21:55,26.04.2022 21:19
6091,43,26.04.2022 17:52,26.04.2022 21:47,26.04.2022 18:22
4969,37,26.04.2022 14:34,26.04.2022 16:58,26.04.2022 15:04
3908,33,26.04.2022 22:16,27.04.2022 00:52,26.04.2022 22:46
6578,28,26.04.2022 18:53,26.04.2022 20:36,26.04.2022 19:23
9418,32,26.04.2022 21:51,26.04.2022 23:43,26.04.2022 22:21
8477,54,26.04.2022 19:46,26.04.2022 21:40,26.04.2022 20:16
8053,50,26.04.2022 19:32,26.04.2022 20:11,26.04.2022 20:02
6883,46,26.04.2022 13:57,26.04.2022 14:47,26.04.2022 14:27
4831,92,26.04.2022 21:28,26.04.2022 22:45,26.04.2022 21:58
2710,21,26.04.2022 20:33,26.04.2022 23:58,26.04.2022 21:03
1733,89,26.04.2022 19:14,26.04.2022 20:41,26.04.2022 19:44
4406,42,26.04.2022 19:57,26.04.2022 22:20,26.04.2022 20:27
9919,43,26.04.2022 20:28,26.04.2022 20:38,26.04.2022 20:58
4590,23,26.04.2022 18:32,26.04.2022 21:35,26.04.2022 19:02
3196,32,26.04.2022 17:41,26.04.2022 18:16,26.04.2022 18:11
9910,78,26.04.2022 20:00,26.04.2022 21:35,26.04.2022 20:30
2335,88,26.04.2022 17:36,26.04.2022 19:29,26.04.2022 18:06
6580,66,26.04.2022 14:23,26.04.2022 17:37,26.04.2022 14:53
7060,78,26.04.2022 20:39,27.04.2022 00:27,26.04.2022 21:09
5677,79,26.04.2022 17:36,26.04.2022 19:29,26.04.2022 18:06
9110,28,26.04.2022 15:49,26.04.2022 16:51,26.04.2022 16:19
7231,47,26.04.2022 18:11,26.04.2022 22:09,26.04.2022 18:41
4996,38,26.04.2022 20:23,26.04.2022 22:07,26.04.2022 20:53
4027,73,26.04.2022 20:47,26.04.2022 21:04,26.04.2022 21:17
5901,15,26.04.2022 17:07,26.04.2022 20:50,26.04.2022 17:37
6216,67,26.04.2022 18:30,26.04.2022 19:10,26.04.2022 19:00
2884,79,26.04.2022 17:01,26.04.2022 20:40,26.04.2022 17:31
1962,26,26.04.2022 20:01,26.04.2022 20:49,26.04.2022 20:31
3870,19,26.04.2022 19:18,26.04.2022 21:44,26.04.2022 19:48
2396,90,26.04.2022 18:26,26.04.2022 21:52,26.04.2022 18:56
8732,22,26.04.2022 21:46,27.04.2022 00:59,26.04.2022 22:16
1015,64,26.04.2022 16:30,26.04.2022 20:17,26.04.2022 17:00
3657,46,26.04.2022 18:25,26.04.2022 20:29,26.04.2022 18:55
7150,11,26.04.2022 17:46,26.04.2022 18:19,26.04.2022 18:16
5077,55,26.04.2022 21:00,27.04.2022 00:33,26.04.2022 21:30
9802,27,26.04.2022 16:47,26.04.2022 19:05,26.04.2022 17:17
7672,54,26.04.2022 19:07,26.04.2022 21:29,26.04.2022 19:37
3100,79,26.04.2022 19:53,26.04.2022 20:05,26.04.2022 20:23
7082,41,26.04.2022 19:10,26.04.2022 20:07,26.04.2022 19:40
9756,38,26.04.2022 16:32,26.04.2022 18:42,26.04.2022 17:02
6292,52,26.04.2022 19:53,26.04.2022 22:22,26.04.2022 20:23
4720,80,26.04.2022 18:31,26.04.2022 21:04,26.04.2022 19:01
1342,57,26.04.2022 18:22,26.04.2022 18:24,26.04.2022 18:52
6577,75,26.04.2022 17:27,26.04.2022 18:45,26.04.2022 17:57
6905,20,26.04.2022 18:08,26.04.2022 18:17,26.04.2022 18:38
3160,64,26.04.2022 14:46,26.04.2022 18:30,26.04.2022 15:16
2340,62,26.04.2022 19:57,26.04.2022 23:48,26.04.2022 20:27
2456,40,26.04.2022 19:26,26.04.2022 22:30,26.04.2022 19:56
3804,50,26.04.2022 19:28,26.04.2022 23:26,26.04.2022 19:58
1519,90,26.04.2022 14:51,26.04.2022 15:41,26.04.2022 15:21
4804,68,26.04.2022 15:41,26.04.2022 15:51,26.04.2022 16:11
7998,44,26.04.2022 20:23,26.04.2022 21:10,26.04.2022 20:53
1082,39,26.04.2022 19:16,26.04.2022 19:21,26.04.2022 19:46
7969,28,26.04.2022 19:26,26.04.2022 21:56,26.04.2022 19:56
1290,40,26.04.2022 16:13,26.04.2022 18:30,26.04.2022 16:43
2689,25,26.04.2022 17:01,26.04.2022 19:32,26.04.2022 17:31
5728,69,26.04.2022 21:29,26.04.2022 22:17,26.04.2022 21:59
3616,87,26.04.2022 17:10,26.04.2022 17:48,26.04.2022 17:40
8576,16,26.04.2022 19:47,26.04.2022 21:30,26.04.2022 20:17
1468,39,26.04.2022 15:37,26.04.2022 18:03,26.04.2022 16:07
9596,65,26.04.2022 19:22,26.04.2022 22:21,26.04.2022 19:52
5744,35,26.04.2022 22:04,27.04.2022 01:59,26.04.2022 22:34
7954,44,26.04.2022 18:11,26.04.2022 20:48,26.04.2022 18:41
5557,16,26.04.2022 16:29,26.04.2022 20:03,26.04.2022 16:59
1947,70,26.04.2022 17:49,26.04.2022 20:47,26.04.2022 18:19
7827,18,26.04.2022 17:06,26.04.2022 18:10,26.04.2022 17:36
8281,91,26.04.2022 19:11,26.04.2022 23:06,26.04.2022 19:41
4232,79,26.04.2022 16:09,26.04.2022 19:35,26.04.2022 16:39
5774,93,26.04.2022 16:57,26.04.2022 17:21,26.04.2022 17:27
1098,31,26.04.2022 18:00,26.04.2022 19:07,26.04.2022 18:30
7644,79,26.04.2022 18:33,26.04.2022 22:26,26.04.2022 19:03
4348,28,26.04.2022 18:07,26.04.2022 22:01,26.04.2022 18:37
1156,18,26.04.2022 19:42,26.04.2022 23:34,26.04.2022 20:12
6969,98,26.04.2022 18:05,26.04.2022 18:44,26.04.2022 18:35
9160,65,26.04.2022 20:29,26.04.2022 23:15,26.04.2022 20:59
4234,96,26.04.2022 17:46,26.04.2022 18:14,26.04.2022 18:16
7284,26,26.04.2022 17:20,26.04.2022 20:17,26.04.2022 17:50
6664,48,26.04.2022 18:46,26.04.2022 22:10,26.04.2022 19:16
1432,34,26.04.2022 19:24,26.04.2022 19:50,26.04.2022 19:54
9202,25,26.04.2022 18:35,26.04.2022 18:38,26.04.2022 19:05
6600,14,26.04.2022 13:52,26.04.2022 16:25,26.04.2022 14:22
6976,33,26.04.2022 19:07,26.04.2022 19:31,26.04.2022 19:37
3444,53,26.04.2022 14:10,26.04.2022 16:18,26.04.2022 14:40
7558,98,26.04.2022 20:24,27.04.2022 00:18,26.04.2022 20:54
7615,87,26.04.2022 20:04,26.04.2022 22:59,26.04.2022 20:34
7722,24,26.04.2022 19:09,26.04.2022 21:11,26.04.2022 19:39
5108,89,26.04.2022 19:35,26.04.2022 19:43,26.04.2022 20:05
9937,74,26.04.2022 19:25,26.04.2022 23:01,26.04.2022 19:55
3880,62,26.04.2022 21:23,27.04.2022 00:21,26.04.2022 21:53
8287,71,26.04.2022 17:35,26.04.2022 18:04,26.04.2022 18:05
