case_id,process_activity,Auftragsnummer,Menge,Lagerort_von,Lagerort_nach,Startzeitpunkt,Endzeitpunkt,Verspaetung,Lagerort
85,Waren verladen,1055,254,Warenausgang,Transportmittel,2022-07-18 18:22:00,2022-07-18 21:40:00,True,Transportmittel
63,Ware vereinnahmen,1065,104,Wareneingang,Hochregallager,2022-07-18 02:30:00,2022-07-18 03:09:00,True,Wareneingang
63,Waren lagern,1065,104,Hochregallager,Hochregallager,2022-07-18 03:09:00,2022-07-18 16:58:00,True,Hochregallager
63,Waren kommissionieren,1065,104,Hochregallager,Packplatz,2022-07-18 16:58:00,2022-07-18 18:35:00,True,Packplatz
63,Waren im Warenausgang,1065,104,Packplatz,Warenausgang,2022-07-18 18:35:00,2022-07-18 22:01:00,True,Warenausgang
63,Waren verladen,1065,104,Warenausgang,Transportmittel,2022-07-18 22:01:00,2022-07-18 22:57:00,True,Transportmittel
44,Ware vereinnahmen,1070,288,Wareneingang,Hochregallager,2022-07-18 00:44:00,2022-07-18 02:12:00,False,Wareneingang
44,Waren lagern,1070,288,Hochregallager,Hochregallager,2022-07-18 02:12:00,2022-07-18 18:39:00,False,Hochregallager
44,Waren kommissionieren,1070,288,Hochregallager,Packplatz,2022-07-18 18:39:00,2022-07-18 18:50:00,False,Packplatz
44,Waren im Warenausgang,1070,288,Packplatz,Warenausgang,2022-07-18 18:50:00,2022-07-18 23:05:00,False,Warenausgang
44,Waren verladen,1070,288,Warenausgang,Transportmittel,2022-07-18 23:05:00,2022-07-18 23:33:00,False,Transportmittel
44,Ware vereinnahmen,1075,77,Wareneingang,Hochregallager,2022-07-18 11:35:00,2022-07-18 14:27:00,True,Wareneingang
44,Waren lagern,1075,77,Hochregallager,Hochregallager,2022-07-18 14:27:00,2022-07-18 10:49:00,True,Hochregallager
44,Waren kommissionieren,1075,77,Hochregallager,Packplatz,2022-07-18 10:49:00,2022-07-18 14:12:00,True,Packplatz
44,Waren im Warenausgang,1075,77,Packplatz,Warenausgang,2022-07-18 14:12:00,2022-07-18 19:54:00,True,Warenausgang
44,Waren verladen,1075,77,Warenausgang,Transportmittel,2022-07-18 19:54:00,2022-07-18 23:50:00,True,Transportmittel
17,Ware vereinnahmen,1081,173,Wareneingang,Hochregallager,2022-07-18 09:12:00,2022-07-18 12:57:00,True,Wareneingang
17,Waren lagern,1081,173,Hochregallager,Hochregallager,2022-07-18 12:57:00,2022-07-18 15:46:00,True,Hochregallager
17,Waren kommissionieren,1081,173,Hochregallager,Packplatz,2022-07-18 15:46:00,2022-07-18 17:15:00,True,Packplatz
17,Waren im Warenausgang,1081,173,Packplatz,Warenausgang,2022-07-18 17:15:00,2022-07-18 20:36:00,True,Warenausgang
17,Waren verladen,1081,173,Warenausgang,Transportmittel,2022-07-18 20:36:00,2022-07-18 22:46:00,True,Transportmittel
68,Ware vereinnahmen,1084,129,Wareneingang,Hochregallager,2022-07-18 11:51:00,2022-07-18 15:51:00,True,Wareneingang
68,Waren lagern,1084,129,Hochregallager,Hochregallager,2022-07-18 15:51:00,2022-07-18 20:49:00,True,Hochregallager
68,Waren kommissionieren,1084,129,Hochregallager,Packplatz,2022-07-18 20:49:00,2022-07-18 22:47:00,True,Packplatz
68,Waren im Warenausgang,1084,129,Packplatz,Warenausgang,2022-07-18 22:47:00,2022-07-19 00:01:00,True,Warenausgang
68,Waren verladen,1084,129,Warenausgang,Transportmittel,2022-07-19 00:01:00,2022-07-19 00:57:00,True,Transportmittel
96,Ware vereinnahmen,1097,150,Wareneingang,Hochregallager,2022-07-18 17:25:00,2022-07-18 18:03:00,False,Wareneingang
96,Waren lagern,1097,150,Hochregallager,Hochregallager,2022-07-18 18:03:00,2022-07-18 13:34:00,False,Hochregallager
96,Waren kommissionieren,1097,150,Hochregallager,Packplatz,2022-07-18 13:34:00,2022-07-18 16:45:00,False,Packplatz
96,Waren im Warenausgang,1097,150,Packplatz,Warenausgang,2022-07-18 16:45:00,2022-07-18 22:34:00,False,Warenausgang
96,Waren verladen,1097,150,Warenausgang,Transportmittel,2022-07-18 22:34:00,2022-07-18 22:56:00,False,Transportmittel
14,Ware vereinnahmen,1099,111,Wareneingang,Hochregallager,2022-07-18 00:52:00,2022-07-18 03:27:00,True,Wareneingang
14,Waren lagern,1099,111,Hochregallager,Hochregallager,2022-07-18 03:27:00,2022-07-18 11:50:00,True,Hochregallager
14,Waren kommissionieren,1099,111,Hochregallager,Packplatz,2022-07-18 11:50:00,2022-07-18 14:23:00,True,Packplatz
14,Waren im Warenausgang,1099,111,Packplatz,Warenausgang,2022-07-18 14:23:00,2022-07-18 18:46:00,True,Warenausgang
14,Waren verladen,1099,111,Warenausgang,Transportmittel,2022-07-18 18:46:00,2022-07-18 21:49:00,True,Transportmittel
46,Ware vereinnahmen,1104,45,Wareneingang,Hochregallager,2022-07-18 15:45:00,2022-07-18 19:07:00,True,Wareneingang
46,Waren lagern,1104,45,Hochregallager,Hochregallager,2022-07-18 19:07:00,2022-07-18 16:17:00,True,Hochregallager
46,Waren kommissionieren,1104,45,Hochregallager,Packplatz,2022-07-18 16:17:00,2022-07-18 19:00:00,True,Packplatz
46,Waren im Warenausgang,1104,45,Packplatz,Warenausgang,2022-07-18 19:00:00,2022-07-18 22:05:00,True,Warenausgang
46,Waren verladen,1104,45,Warenausgang,Transportmittel,2022-07-18 22:05:00,2022-07-18 23:55:00,True,Transportmittel
78,Ware vereinnahmen,1106,465,Wareneingang,Hochregallager,2022-07-18 01:18:00,2022-07-18 03:44:00,True,Wareneingang
78,Waren lagern,1106,465,Hochregallager,Hochregallager,2022-07-18 03:44:00,2022-07-18 11:32:00,True,Hochregallager
78,Waren kommissionieren,1106,465,Hochregallager,Packplatz,2022-07-18 11:32:00,2022-07-18 13:40:00,True,Packplatz
78,Waren im Warenausgang,1106,465,Packplatz,Warenausgang,2022-07-18 13:40:00,2022-07-18 19:35:00,True,Warenausgang
78,Waren verladen,1106,465,Warenausgang,Transportmittel,2022-07-18 19:35:00,2022-07-18 20:29:00,True,Transportmittel
39,Ware vereinnahmen,1122,238,Wareneingang,Hochregallager,2022-07-18 08:56:00,2022-07-18 11:35:00,False,Wareneingang
39,Waren lagern,1122,238,Hochregallager,Hochregallager,2022-07-18 11:35:00,2022-07-18 18:59:00,False,Hochregallager
39,Waren kommissionieren,1122,238,Hochregallager,Packplatz,2022-07-18 18:59:00,2022-07-18 21:58:00,False,Packplatz
39,Waren im Warenausgang,1122,238,Packplatz,Warenausgang,2022-07-18 21:58:00,2022-07-18 23:22:00,False,Warenausgang
39,Waren verladen,1122,238,Warenausgang,Transportmittel,2022-07-18 23:22:00,2022-07-18 23:47:00,False,Transportmittel
95,Ware vereinnahmen,1123,396,Wareneingang,Hochregallager,2022-07-18 13:18:00,2022-07-18 16:46:00,False,Wareneingang
95,Waren lagern,1123,396,Hochregallager,Hochregallager,2022-07-18 16:46:00,2022-07-18 19:07:00,False,Hochregallager
95,Waren kommissionieren,1123,396,Hochregallager,Packplatz,2022-07-18 19:07:00,2022-07-18 22:01:00,False,Packplatz
95,Waren im Warenausgang,1123,396,Packplatz,Warenausgang,2022-07-18 22:01:00,2022-07-18 23:56:00,False,Warenausgang
95,Waren verladen,1123,396,Warenausgang,Transportmittel,2022-07-18 23:56:00,2022-07-19 00:15:00,False,Transportmittel
45,Ware vereinnahmen,1126,90,Wareneingang,Hochregallager,2022-07-18 02:46:00,2022-07-18 03:34:00,True,Wareneingang
45,Waren lagern,1126,90,Hochregallager,Hochregallager,2022-07-18 03:34:00,2022-07-18 12:19:00,True,Hochregallager
45,Waren kommissionieren,1126,90,Hochregallager,Packplatz,2022-07-18 12:19:00,2022-07-18 15:46:00,True,Packplatz
45,Waren im Warenausgang,1126,90,Packplatz,Warenausgang,2022-07-18 15:46:00,2022-07-18 19:51:00,True,Warenausgang
45,Waren verladen,1126,90,Warenausgang,Transportmittel,2022-07-18 19:51:00,2022-07-18 21:45:00,True,Transportmittel
81,Ware vereinnahmen,1138,444,Wareneingang,Hochregallager,2022-07-18 13:52:00,2022-07-18 15:19:00,True,Wareneingang
81,Waren lagern,1138,444,Hochregallager,Hochregallager,2022-07-18 15:19:00,2022-07-18 20:06:00,True,Hochregallager
81,Waren kommissionieren,1138,444,Hochregallager,Packplatz,2022-07-18 20:06:00,2022-07-18 20:47:00,True,Packplatz
81,Waren im Warenausgang,1138,444,Packplatz,Warenausgang,2022-07-18 20:47:00,2022-07-18 20:57:00,True,Warenausgang
81,Waren verladen,1138,444,Warenausgang,Transportmittel,2022-07-18 20:57:00,2022-07-19 00:40:00,True,Transportmittel
97,Ware vereinnahmen,1138,444,Wareneingang,Hochregallager,2022-07-18 13:52:00,2022-07-18 15:19:00,True,Wareneingang
97,Waren lagern,1138,444,Hochregallager,Hochregallager,2022-07-18 15:19:00,2022-07-18 20:06:00,True,Hochregallager
97,Waren kommissionieren,1138,444,Hochregallager,Packplatz,2022-07-18 20:06:00,2022-07-18 20:47:00,True,Packplatz
97,Waren im Warenausgang,1138,444,Packplatz,Warenausgang,2022-07-18 20:47:00,2022-07-18 20:46:00,True,Warenausgang
97,Waren verladen,1138,444,Warenausgang,Transportmittel,2022-07-18 20:46:00,2022-07-18 22:45:00,True,Transportmittel
32,Ware vereinnahmen,1156,216,Wareneingang,Hochregallager,2022-07-18 13:27:00,2022-07-18 13:30:00,False,Wareneingang
32,Waren lagern,1156,216,Hochregallager,Hochregallager,2022-07-18 13:30:00,2022-07-18 17:32:00,False,Hochregallager
32,Waren kommissionieren,1156,216,Hochregallager,Packplatz,2022-07-18 17:32:00,2022-07-18 18:28:00,False,Packplatz
32,Waren im Warenausgang,1156,216,Packplatz,Warenausgang,2022-07-18 18:28:00,2022-07-18 22:26:00,False,Warenausgang
32,Waren verladen,1156,216,Warenausgang,Transportmittel,2022-07-18 22:26:00,2022-07-18 22:35:00,False,Transportmittel
67,Ware vereinnahmen,1162,274,Wareneingang,Hochregallager,2022-07-18 14:02:00,2022-07-18 14:39:00,True,Wareneingang
67,Waren lagern,1162,274,Hochregallager,Hochregallager,2022-07-18 14:39:00,2022-07-18 12:51:00,True,Hochregallager
67,Waren kommissionieren,1162,274,Hochregallager,Packplatz,2022-07-18 12:51:00,2022-07-18 14:48:00,True,Packplatz
67,Waren im Warenausgang,1162,274,Packplatz,Warenausgang,2022-07-18 14:48:00,2022-07-18 18:58:00,True,Warenausgang
67,Waren verladen,1162,274,Warenausgang,Transportmittel,2022-07-18 18:58:00,2022-07-18 20:36:00,True,Transportmittel
79,Ware vereinnahmen,1178,53,Wareneingang,Hochregallager,2022-07-18 11:45:00,2022-07-18 15:22:00,True,Wareneingang
79,Waren lagern,1178,53,Hochregallager,Hochregallager,2022-07-18 15:22:00,2022-07-18 12:48:00,True,Hochregallager
79,Waren kommissionieren,1178,53,Hochregallager,Packplatz,2022-07-18 12:48:00,2022-07-18 16:07:00,True,Packplatz
79,Waren im Warenausgang,1178,53,Packplatz,Warenausgang,2022-07-18 16:07:00,2022-07-18 18:27:00,True,Warenausgang
79,Waren verladen,1178,53,Warenausgang,Transportmittel,2022-07-18 18:27:00,2022-07-18 20:30:00,True,Transportmittel
66,Ware vereinnahmen,1181,475,Wareneingang,Hochregallager,2022-07-18 14:02:00,2022-07-18 14:39:00,True,Wareneingang
66,Waren lagern,1181,475,Hochregallager,Hochregallager,2022-07-18 14:39:00,2022-07-18 12:51:00,True,Hochregallager
66,Waren kommissionieren,1181,475,Hochregallager,Packplatz,2022-07-18 12:51:00,2022-07-18 14:48:00,True,Packplatz
66,Waren im Warenausgang,1181,475,Packplatz,Warenausgang,2022-07-18 14:48:00,2022-07-18 21:50:00,True,Warenausgang
66,Waren verladen,1181,475,Warenausgang,Transportmittel,2022-07-18 21:50:00,2022-07-18 23:33:00,True,Transportmittel
66,Ware vereinnahmen,1194,216,Wareneingang,Hochregallager,2022-07-18 07:58:00,2022-07-18 09:47:00,True,Wareneingang
66,Waren lagern,1194,216,Hochregallager,Hochregallager,2022-07-18 09:47:00,2022-07-18 14:32:00,True,Hochregallager
66,Waren kommissionieren,1194,216,Hochregallager,Packplatz,2022-07-18 14:32:00,2022-07-18 16:17:00,True,Packplatz
66,Waren im Warenausgang,1194,216,Packplatz,Warenausgang,2022-07-18 16:17:00,2022-07-18 18:31:00,True,Warenausgang
66,Waren verladen,1194,216,Warenausgang,Transportmittel,2022-07-18 18:31:00,2022-07-18 20:27:00,True,Transportmittel
67,Ware vereinnahmen,1203,373,Wareneingang,Hochregallager,2022-07-18 08:15:00,2022-07-18 11:50:00,True,Wareneingang
67,Waren lagern,1203,373,Hochregallager,Hochregallager,2022-07-18 11:50:00,2022-07-18 16:55:00,True,Hochregallager
67,Waren kommissionieren,1203,373,Hochregallager,Packplatz,2022-07-18 16:55:00,2022-07-18 18:16:00,True,Packplatz
67,Waren im Warenausgang,1203,373,Packplatz,Warenausgang,2022-07-18 18:16:00,2022-07-18 21:38:00,True,Warenausgang
67,Waren verladen,1203,373,Warenausgang,Transportmittel,2022-07-18 21:38:00,2022-07-19 01:04:00,True,Transportmittel
61,Ware vereinnahmen,1236,96,Wareneingang,Hochregallager,2022-07-18 05:54:00,2022-07-18 09:07:00,True,Wareneingang
61,Waren lagern,1236,96,Hochregallager,Hochregallager,2022-07-18 09:07:00,2022-07-18 15:56:00,True,Hochregallager
61,Waren kommissionieren,1236,96,Hochregallager,Packplatz,2022-07-18 15:56:00,2022-07-18 19:48:00,True,Packplatz
61,Waren im Warenausgang,1236,96,Packplatz,Warenausgang,2022-07-18 19:48:00,2022-07-18 23:48:00,True,Warenausgang
61,Waren verladen,1236,96,Warenausgang,Transportmittel,2022-07-18 23:48:00,2022-07-19 03:14:00,True,Transportmittel
51,Ware vereinnahmen,1252,180,Wareneingang,Hochregallager,2022-07-17 21:44:00,2022-07-18 01:24:00,True,Wareneingang
51,Waren lagern,1252,180,Hochregallager,Hochregallager,2022-07-18 01:24:00,2022-07-18 13:52:00,True,Hochregallager
51,Waren kommissionieren,1252,180,Hochregallager,Packplatz,2022-07-18 13:52:00,2022-07-18 14:45:00,True,Packplatz
51,Waren im Warenausgang,1252,180,Packplatz,Warenausgang,2022-07-18 14:45:00,2022-07-18 21:28:00,True,Warenausgang
51,Waren verladen,1252,180,Warenausgang,Transportmittel,2022-07-18 21:28:00,2022-07-18 22:52:00,True,Transportmittel
27,Ware vereinnahmen,1262,430,Wareneingang,Hochregallager,2022-07-18 05:18:00,2022-07-18 06:57:00,True,Wareneingang
27,Waren lagern,1262,430,Hochregallager,Hochregallager,2022-07-18 06:57:00,2022-07-18 15:52:00,True,Hochregallager
27,Waren kommissionieren,1262,430,Hochregallager,Packplatz,2022-07-18 15:52:00,2022-07-18 19:28:00,True,Packplatz
27,Waren im Warenausgang,1262,430,Packplatz,Warenausgang,2022-07-18 19:28:00,2022-07-19 02:13:00,True,Warenausgang
27,Waren verladen,1262,430,Warenausgang,Transportmittel,2022-07-19 02:13:00,2022-07-19 04:30:00,True,Transportmittel
17,Ware vereinnahmen,1264,241,Wareneingang,Hochregallager,2022-07-18 14:56:00,2022-07-18 16:04:00,True,Wareneingang
17,Waren lagern,1264,241,Hochregallager,Hochregallager,2022-07-18 16:04:00,2022-07-18 16:40:00,True,Hochregallager
17,Waren kommissionieren,1264,241,Hochregallager,Packplatz,2022-07-18 16:40:00,2022-07-18 16:43:00,True,Packplatz
17,Waren im Warenausgang,1264,241,Packplatz,Warenausgang,2022-07-18 16:43:00,2022-07-18 20:21:00,True,Warenausgang
17,Waren verladen,1264,241,Warenausgang,Transportmittel,2022-07-18 20:21:00,2022-07-18 21:13:00,True,Transportmittel
58,Ware vereinnahmen,1268,68,Wareneingang,Hochregallager,2022-07-18 05:55:00,2022-07-18 08:50:00,True,Wareneingang
58,Waren lagern,1268,68,Hochregallager,Hochregallager,2022-07-18 08:50:00,2022-07-18 17:32:00,True,Hochregallager
58,Waren kommissionieren,1268,68,Hochregallager,Packplatz,2022-07-18 17:32:00,2022-07-18 19:37:00,True,Packplatz
58,Waren im Warenausgang,1268,68,Packplatz,Warenausgang,2022-07-18 19:37:00,2022-07-18 23:39:00,True,Warenausgang
58,Waren verladen,1268,68,Warenausgang,Transportmittel,2022-07-18 23:39:00,2022-07-19 03:22:00,True,Transportmittel
48,Ware vereinnahmen,1279,327,Wareneingang,Hochregallager,2022-07-18 14:26:00,2022-07-18 15:39:00,True,Wareneingang
48,Waren lagern,1279,327,Hochregallager,Hochregallager,2022-07-18 15:39:00,2022-07-18 12:42:00,True,Hochregallager
48,Waren kommissionieren,1279,327,Hochregallager,Packplatz,2022-07-18 12:42:00,2022-07-18 15:38:00,True,Packplatz
48,Waren im Warenausgang,1279,327,Packplatz,Warenausgang,2022-07-18 15:38:00,2022-07-18 18:57:00,True,Warenausgang
48,Waren verladen,1279,327,Warenausgang,Transportmittel,2022-07-18 18:57:00,2022-07-18 21:56:00,True,Transportmittel
29,Ware vereinnahmen,1282,145,Wareneingang,Hochregallager,2022-07-17 23:58:00,2022-07-18 01:12:00,True,Wareneingang
29,Waren lagern,1282,145,Hochregallager,Hochregallager,2022-07-18 01:12:00,2022-07-18 14:48:00,True,Hochregallager
29,Waren kommissionieren,1282,145,Hochregallager,Packplatz,2022-07-18 14:48:00,2022-07-18 18:03:00,True,Packplatz
29,Waren im Warenausgang,1282,145,Packplatz,Warenausgang,2022-07-18 18:03:00,2022-07-18 21:34:00,True,Warenausgang
29,Waren verladen,1282,145,Warenausgang,Transportmittel,2022-07-18 21:34:00,2022-07-19 01:33:00,True,Transportmittel
11,Ware vereinnahmen,1296,5,Wareneingang,Hochregallager,2022-07-18 08:52:00,2022-07-18 09:49:00,True,Wareneingang
11,Waren lagern,1296,5,Hochregallager,Hochregallager,2022-07-18 09:49:00,2022-07-18 21:30:00,True,Hochregallager
11,Waren kommissionieren,1296,5,Hochregallager,Packplatz,2022-07-18 21:30:00,2022-07-18 21:45:00,True,Packplatz
11,Waren im Warenausgang,1296,5,Packplatz,Warenausgang,2022-07-18 21:45:00,2022-07-18 22:09:00,True,Warenausgang
11,Waren verladen,1296,5,Warenausgang,Transportmittel,2022-07-18 22:09:00,2022-07-18 22:51:00,True,Transportmittel
84,Ware vereinnahmen,1301,363,Wareneingang,Hochregallager,2022-07-18 12:53:00,2022-07-18 14:17:00,True,Wareneingang
84,Waren lagern,1301,363,Hochregallager,Hochregallager,2022-07-18 14:17:00,2022-07-18 15:30:00,True,Hochregallager
84,Waren kommissionieren,1301,363,Hochregallager,Packplatz,2022-07-18 15:30:00,2022-07-18 19:15:00,True,Packplatz
84,Waren im Warenausgang,1301,363,Packplatz,Warenausgang,2022-07-18 19:15:00,2022-07-18 21:22:00,True,Warenausgang
84,Waren verladen,1301,363,Warenausgang,Transportmittel,2022-07-18 21:22:00,2022-07-18 23:43:00,True,Transportmittel
67,Ware vereinnahmen,1302,105,Wareneingang,Hochregallager,2022-07-18 16:52:00,2022-07-18 18:38:00,True,Wareneingang
67,Waren lagern,1302,105,Hochregallager,Hochregallager,2022-07-18 18:38:00,2022-07-18 14:50:00,True,Hochregallager
67,Waren kommissionieren,1302,105,Hochregallager,Packplatz,2022-07-18 14:50:00,2022-07-18 17:02:00,True,Packplatz
67,Waren im Warenausgang,1302,105,Packplatz,Warenausgang,2022-07-18 17:02:00,2022-07-18 20:44:00,True,Warenausgang
67,Waren verladen,1302,105,Warenausgang,Transportmittel,2022-07-18 20:44:00,2022-07-18 23:04:00,True,Transportmittel
89,Ware vereinnahmen,1308,73,Wareneingang,Hochregallager,2022-07-18 07:42:00,2022-07-18 10:48:00,True,Wareneingang
89,Waren lagern,1308,73,Hochregallager,Hochregallager,2022-07-18 10:48:00,2022-07-18 12:08:00,True,Hochregallager
89,Waren kommissionieren,1308,73,Hochregallager,Packplatz,2022-07-18 12:08:00,2022-07-18 13:15:00,True,Packplatz
89,Waren im Warenausgang,1308,73,Packplatz,Warenausgang,2022-07-18 13:15:00,2022-07-18 19:55:00,True,Warenausgang
89,Waren verladen,1308,73,Warenausgang,Transportmittel,2022-07-18 19:55:00,2022-07-18 21:23:00,True,Transportmittel
22,Ware vereinnahmen,1317,374,Wareneingang,Hochregallager,2022-07-18 01:13:00,2022-07-18 01:18:00,True,Wareneingang
22,Waren lagern,1317,374,Hochregallager,Hochregallager,2022-07-18 01:18:00,2022-07-18 16:35:00,True,Hochregallager
22,Waren kommissionieren,1317,374,Hochregallager,Packplatz,2022-07-18 16:35:00,2022-07-18 19:10:00,True,Packplatz
22,Waren im Warenausgang,1317,374,Packplatz,Warenausgang,2022-07-18 19:10:00,2022-07-18 23:19:00,True,Warenausgang
22,Waren verladen,1317,374,Warenausgang,Transportmittel,2022-07-18 23:19:00,2022-07-19 03:04:00,True,Transportmittel
82,Ware vereinnahmen,1330,202,Wareneingang,Hochregallager,2022-07-18 13:45:00,2022-07-18 15:23:00,True,Wareneingang
82,Waren lagern,1330,202,Hochregallager,Hochregallager,2022-07-18 15:23:00,2022-07-18 14:20:00,True,Hochregallager
82,Waren kommissionieren,1330,202,Hochregallager,Packplatz,2022-07-18 14:20:00,2022-07-18 15:59:00,True,Packplatz
82,Waren im Warenausgang,1330,202,Packplatz,Warenausgang,2022-07-18 15:59:00,2022-07-18 21:15:00,True,Warenausgang
82,Waren verladen,1330,202,Warenausgang,Transportmittel,2022-07-18 21:15:00,2022-07-19 00:13:00,True,Transportmittel
74,Ware vereinnahmen,1340,395,Wareneingang,Hochregallager,2022-07-18 09:09:00,2022-07-18 10:49:00,True,Wareneingang
74,Waren lagern,1340,395,Hochregallager,Hochregallager,2022-07-18 10:49:00,2022-07-18 16:17:00,True,Hochregallager
74,Waren kommissionieren,1340,395,Hochregallager,Packplatz,2022-07-18 16:17:00,2022-07-18 18:50:00,True,Packplatz
74,Waren im Warenausgang,1340,395,Packplatz,Warenausgang,2022-07-18 18:50:00,2022-07-18 20:47:00,True,Warenausgang
74,Waren verladen,1340,395,Warenausgang,Transportmittel,2022-07-18 20:47:00,2022-07-18 21:47:00,True,Transportmittel
51,Ware vereinnahmen,1348,155,Wareneingang,Hochregallager,2022-07-18 07:07:00,2022-07-18 08:13:00,True,Wareneingang
51,Waren lagern,1348,155,Hochregallager,Hochregallager,2022-07-18 08:13:00,2022-07-18 16:01:00,True,Hochregallager
51,Waren kommissionieren,1348,155,Hochregallager,Packplatz,2022-07-18 16:01:00,2022-07-18 17:45:00,True,Packplatz
51,Waren im Warenausgang,1348,155,Packplatz,Warenausgang,2022-07-18 17:45:00,2022-07-19 00:01:00,True,Warenausgang
51,Waren verladen,1348,155,Warenausgang,Transportmittel,2022-07-19 00:01:00,2022-07-19 03:52:00,True,Transportmittel
98,Ware vereinnahmen,1352,226,Wareneingang,Hochregallager,2022-07-17 20:50:00,2022-07-17 21:58:00,True,Wareneingang
98,Waren lagern,1352,226,Hochregallager,Hochregallager,2022-07-17 21:58:00,2022-07-18 13:06:00,True,Hochregallager
98,Waren kommissionieren,1352,226,Hochregallager,Packplatz,2022-07-18 13:06:00,2022-07-18 16:19:00,True,Packplatz
98,Waren im Warenausgang,1352,226,Packplatz,Warenausgang,2022-07-18 16:19:00,2022-07-18 21:23:00,True,Warenausgang
98,Waren verladen,1352,226,Warenausgang,Transportmittel,2022-07-18 21:23:00,2022-07-18 23:03:00,True,Transportmittel
83,Ware vereinnahmen,1357,379,Wareneingang,Hochregallager,2022-07-17 21:53:00,2022-07-18 00:09:00,True,Wareneingang
83,Waren lagern,1357,379,Hochregallager,Hochregallager,2022-07-18 00:09:00,2022-07-18 17:06:00,True,Hochregallager
83,Waren kommissionieren,1357,379,Hochregallager,Packplatz,2022-07-18 17:06:00,2022-07-18 18:46:00,True,Packplatz
83,Waren im Warenausgang,1357,379,Packplatz,Warenausgang,2022-07-18 18:46:00,2022-07-18 23:39:00,True,Warenausgang
83,Waren verladen,1357,379,Warenausgang,Transportmittel,2022-07-18 23:39:00,2022-07-19 01:43:00,True,Transportmittel
92,Ware vereinnahmen,1360,422,Wareneingang,Hochregallager,2022-07-18 00:33:00,2022-07-18 01:11:00,True,Wareneingang
92,Waren lagern,1360,422,Hochregallager,Hochregallager,2022-07-18 01:11:00,2022-07-18 20:57:00,True,Hochregallager
92,Waren kommissionieren,1360,124,Hochregallager,Packplatz,2022-07-18 20:57:00,2022-07-18 23:44:00,True,Packplatz
92,Waren im Warenausgang,1360,422,Packplatz,Warenausgang,2022-07-18 23:44:00,2022-07-19 01:18:00,True,Warenausgang
92,Waren verladen,1360,422,Warenausgang,Transportmittel,2022-07-19 01:18:00,2022-07-19 02:53:00,True,Transportmittel
55,Ware vereinnahmen,1360,422,Wareneingang,Hochregallager,2022-07-18 00:33:00,2022-07-18 01:11:00,True,Wareneingang
55,Waren lagern,1360,422,Hochregallager,Hochregallager,2022-07-18 01:11:00,2022-07-18 20:57:00,True,Hochregallager
55,Waren kommissionieren,1360,124,Hochregallager,Packplatz,2022-07-18 20:57:00,2022-07-18 23:44:00,True,Packplatz
55,Waren im Warenausgang,1360,422,Packplatz,Warenausgang,2022-07-18 23:44:00,2022-07-18 22:17:00,True,Warenausgang
